Periodo,Total_Mensual,Total_Anual,Primarias_Mensual,Primarias_Anual,Secundarias_Mensual,Secundarias_Anual,Terciarias_Mensual,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual
oct-17,1.33,1.49,1.25,2.53,1.11,0.73,0.93,1.82,-9.41,0.81,1.39,2.74,3.23,2.53,4.69,9.03,0.0,-8.87,-1.66
nov-17,0.77,2.04,3.4,9.19,0.22,-0.17,0.94,2.82,-7.75,8.83,-4.95,2.22,4.39,3.62,4.68,9.23,-0.18,-6.23,-1.07
dic-17,0.63,2.16,-5.01,0.89,0.67,0.79,1.01,2.97,-7.27,3.58,4.06,1.06,2.09,4.62,3.78,7.86,1.82,1.63,1.2
ene-18,-0.71,1.12,2.73,0.03,-0.87,-0.78,-0.89,2.33,-5.51,2.04,1.71,-0.67,0.26,6.68,2.38,4.35,0.86,-4.01,2.56
feb-18,0.54,2.16,0.41,10.08,0.42,0.08,0.73,2.99,-6.7,4.24,4.19,-0.22,4.8,4.26,3.79,5.61,0.68,-3.4,3.82
mar-18,0.7,2.52,-1.31,3.79,0.08,-0.54,1.09,4.19,-7.07,-1.72,0.65,1.02,5.04,10.97,4.21,3.93,1.56,0.61,5.71
abr-18,-0.9,1.62,2.19,6.14,-1.39,-0.84,-0.89,2.8,-6.86,4.59,2.68,-1.12,3.08,1.47,3.02,6.55,2.57,3.62,6.15
may-18,0.75,2.6,0.11,10.17,1.73,0.83,0.43,3.32,-7.08,-1.87,4.49,1.64,6.19,4.84,3.58,5.2,0.8,-6.01,5.47
jun-18,-0.25,1.82,-3.03,-2.69,-0.18,0.58,-0.01,2.93,-8.26,0.91,1.09,2.14,3.3,3.53,2.23,5.08,1.8,2.09,6.21
jul-18,0.35,3.06,-0.81,1.25,0.31,1.66,0.3,4.01,-8.15,5.58,5.41,2.23,3.98,6.35,4.02,8.97,3.62,1.01,3.33
