Periodo,INPC_Quincenal,INPC_Anual,Subyacente_Quincenal,Subyacente_Anual,No_subyacente_Quincenal,No_subyacente_Anual
Q01-01,0.28,,0.49,,,
Q02-01,0.07,,0.39,,,
Q03-01,-0.13,,0.44,,,
Q04-01,0.07,,0.34,,,
Q05-01,0.34,,0.24,,,
Q06-01,0.52,,0.29,,,
Q07-01,0.15,,0.27,,,
Q08-01,0.19,,0.19,,,
Q09-01,0.02,,0.22,,,
Q10-01,0.22,,0.19,,,
Q11-01,0.11,,0.16,,,
Q12-01,0.04,,0.13,,,
Q13-01,-0.36,,0.09,,,
Q14-01,0.16,,0.01,,,
Q15-01,0.35,,0.3,,,
Q16-01,0.33,,0.01,,,
Q17-01,0.67,,0.66,,,
Q18-01,0.18,,0.22,,,
Q19-01,0.25,,0.1,,,
Q20-01,0.23,,0.12,,,
Q21-01,0.28,,0.12,,,
Q22-01,-0.03,,0.13,,,
Q23-01,0.16,,0.15,,,
Q24-01,0.0,,0.05,,,
Q01-02,0.73,,0.3,,,
Q02-02,0.39,,0.28,,,
Q03-02,-0.26,,0.45,,,
Q04-02,0.0,,0.27,,,
Q05-02,0.29,,0.22,,,
Q06-02,0.44,,0.16,,,
Q07-02,0.45,,0.24,,,
Q08-02,-0.25,,0.09,,,
Q09-02,0.27,,0.1,,,
Q10-02,0.11,,0.1,,,
Q11-02,0.35,,0.06,,,
Q12-02,0.17,,0.03,,,
Q13-02,0.13,,0.08,,,
Q14-02,0.15,,0.09,,,
Q15-02,0.25,,0.24,,,
Q16-02,0.12,,0.15,,,
Q17-02,0.49,,0.55,,,
Q18-02,0.1,,0.13,,,
Q19-02,0.34,,0.12,,,
Q20-02,0.11,,0.12,,,
Q21-02,0.61,,0.08,,,
Q22-02,0.28,,0.12,,,
Q23-02,0.23,,0.09,,,
Q24-02,0.13,,0.12,,,
Q01-03,0.32,,0.26,,,
Q02-03,0.04,,0.28,,,
Q03-03,0.15,,0.27,,,
Q04-03,0.22,,0.22,,,
Q05-03,0.39,,0.22,,,
Q06-03,0.26,,0.19,,,
Q07-03,0.01,,0.19,,,
Q08-03,0.06,,0.11,,,
Q09-03,-0.41,,0.14,,,
Q10-03,0.12,,0.16,,,
