Periodo,Personal_ocupado,Remuneraciones_totales,Ingresos_totales,Gastos_consumo_b_y_s,Transporte_correos_Anual,Info_medios_masivos_Anual,Inmobiliarios_alquiler_Anual,Profesionales_cientificos_Anual,Apoyo_negocios_residuos_Anual,Educativos_Anual,Salud_asistencia_Anual,Esparcimiento_culturales_Anual,Alojamiento_alimentos_Anual,Otros_servicios_Anual
ene-18,-0.5,0.38,-0.37,0.6,-7.4,1.77,-9.44,-7.93,2.86,1.59,7.76,1.61,2.99,
feb-18,-0.01,0.09,0.08,0.51,-6.28,0.95,-4.42,-8.14,2.78,3.54,6.57,-6.96,1.0,
mar-18,0.41,-0.64,-0.74,0.42,-7.05,-1.37,5.17,-3.4,6.64,4.44,5.64,-4.69,-0.58,
abr-18,0.26,2.2,3.83,0.32,-3.26,-1.63,7.38,-6.4,9.21,5.62,2.08,-8.17,2.06,
may-18,-0.43,-0.51,-1.89,1.36,-5.92,9.34,-0.89,-7.23,4.39,4.94,5.06,-11.06,1.19,
jun-18,0.03,0.17,-0.99,-0.41,-7.1,2.21,-7.74,-7.84,7.21,2.57,4.74,8.3,1.85,
jul-18,0.28,-0.98,0.27,-0.43,-7.22,1.63,1.24,-8.29,10.77,5.01,4.9,-0.67,5.24,
ago-18,0.06,0.64,1.12,-1.83,-6.33,3.42,-8.92,-0.38,5.94,5.1,11.24,2.34,5.82,
sep-18,-0.05,-0.7,-1.48,3.23,-4.82,-8.2,-10.14,-7.32,7.74,6.65,8.0,7.85,9.01,
oct-18,-0.2,0.39,0.47,-0.89,-7.07,1.65,-10.6,-3.72,3.21,3.81,7.3,-1.87,9.71,
nov-18,0.09,-0.83,-1.37,0.2,-11.46,-1.81,-21.54,-8.06,9.63,2.27,11.22,-2.85,8.55,
dic-18,-0.28,-0.02,0.44,1.42,-14.23,5.27,-16.76,-6.66,4.25,-1.0,4.16,0.05,7.88,
ene-19,0.84,0.77,1.41,-5.25,-1.26,6.11,0.23,-2.48,6.06,-4.91,6.23,-3.69,0.27,-9.27
feb-19,-0.27,2.08,-0.44,3.09,0.43,-1.86,-6.19,1.41,7.37,-9.18,8.67,-10.13,2.3,-2.3
mar-19,0.12,-1.21,-0.42,-1.66,1.22,3.49,-5.73,0.29,3.08,-9.1,6.69,-11.64,2.46,-16.25
abr-19,0.49,0.51,-1.09,0.22,-3.62,-2.31,-11.23,4.86,3.02,-13.35,10.8,-8.04,-0.81,-19.17
may-19,0.33,2.6,1.53,-1.23,-0.03,-9.59,-5.65,-2.93,5.55,-11.6,5.58,-5.2,0.59,7.4
jun-19,-0.43,-0.19,-0.67,-0.34,-1.32,-3.28,1.07,-4.76,1.63,-12.79,3.38,-13.78,2.66,15.11
jul-19,0.12,0.1,1.57,2.56,-2.57,3.47,-1.79,-0.57,-0.7,-11.35,5.75,-14.41,0.57,33.04
ago-19,-0.58,0.29,0.11,1.07,0.5,2.83,-5.76,-5.67,1.76,-12.45,-3.46,-10.62,0.69,13.95
sep-19,0.92,1.02,0.42,-0.75,-1.72,5.47,4.48,-0.83,2.63,-12.27,3.28,-13.27,-0.45,30.71
oct-19,0.74,1.51,0.58,0.8,-1.83,2.49,-3.79,-7.61,4.25,-12.48,2.57,-16.36,1.26,40.44
nov-19,0.51,0.81,-0.26,0.86,-2.84,0.45,9.35,-2.45,4.46,-10.51,-1.45,-12.54,2.89,52.46
dic-19,-0.04,-0.25,0.46,-0.41,-0.09,-3.28,5.19,-4.49,-1.11,-8.86,8.83,-13.78,5.22,58.74
ene-20,-1.16,-1.91,-3.45,-4.73,-1.43,-3.87,-3.76,-4.23,1.57,-10.14,1.58,-13.22,0.19,-8.57
feb-20,-0.15,-1.94,-2.78,-4.27,-4.59,-0.76,3.84,-8.16,0.75,-7.72,1.31,-8.59,-2.37,-17.31
mar-20,-0.78,-2.69,-3.14,-3.36,-6.7,10.81,4.62,-11.38,-0.97,-10.41,-10.46,-28.0,-27.05,19.79
abr-20,-2.94,-7.61,-19.42,-18.49,-22.65,-2.9,-15.27,-10.16,-13.13,-14.62,-36.92,-72.44,-61.49,-3.78
may-20,-1.02,-3.23,-3.23,-0.68,-33.14,1.35,-12.65,-22.62,-15.38,-19.39,-29.08,-77.32,-63.16,-12.75
jun-20,-0.91,0.66,0.15,4.27,-28.02,-1.89,-18.26,-17.28,-15.25,-16.42,-16.17,-76.78,-62.13,-15.87
jul-20,-0.54,1.7,6.88,5.49,-25.44,-5.72,-9.98,-15.16,-13.18,-19.27,-8.01,-67.01,-54.8,-18.06
ago-20,-1.11,-0.86,4.31,5.67,-24.94,-7.4,4.17,-7.01,-11.77,-14.73,-1.58,-53.99,-49.96,-10.59
sep-20,1.36,2.15,6.79,1.59,-18.19,-0.44,-2.95,-13.18,-8.57,-18.8,-0.31,-51.78,-38.92,-5.77
oct-20,-0.26,1.64,-0.44,-0.32,-15.77,-4.77,4.08,-9.04,-10.0,-17.94,3.72,-45.88,-39.8,-16.77
nov-20,-0.2,1.75,3.25,0.78,-10.38,0.55,6.87,-13.22,-11.61,-18.17,7.39,-47.7,-34.46,-8.0
dic-20,-0.13,-0.76,1.93,2.47,-10.11,12.76,3.03,-10.08,-6.17,-14.14,5.16,-44.77,-36.84,-14.93
ene-21,0.19,-2.49,-5.46,-5.1,-10.0,-4.23,15.06,-9.51,-8.14,-23.91,5.56,-47.69,-34.69,-19.88
feb-21,-0.2,-2.13,2.42,-2.99,-10.11,7.98,15.08,-6.16,-7.86,-20.72,3.01,-46.02,-31.64,3.35
mar-21,0.39,2.56,1.18,4.3,-6.7,-14.82,8.82,-4.22,2.85,-17.56,12.72,-23.51,-0.3,-9.42
abr-21,-0.48,-2.87,-0.12,0.25,15.37,4.83,38.88,-7.36,9.98,-7.62,58.3,110.32,99.5,-20.63
may-21,-0.45,-0.12,0.1,-0.76,33.73,1.35,35.98,10.95,8.71,-3.53,45.51,173.67,114.2,-23.3
jun-21,0.04,2.22,2.77,1.35,28.29,7.07,40.67,9.53,8.2,-5.38,26.56,171.35,125.78,-6.49
jul-21,-6.05,-5.94,-1.68,-0.63,25.67,4.01,30.25,4.85,-12.0,-6.6,17.42,102.07,87.26,-12.95
ago-21,-3.6,-9.31,-3.64,-0.65,21.79,2.99,25.06,-2.52,-30.76,-7.1,18.34,42.79,69.16,-20.76
sep-21,-2.15,-0.69,0.68,-1.52,14.73,1.86,30.61,5.88,-39.59,-2.71,9.22,46.57,42.49,-38.35
oct-21,-2.25,-1.51,0.85,2.59,14.25,5.33,27.56,-4.33,-40.96,0.18,-0.05,41.45,43.43,-15.39
nov-21,-0.08,-2.23,-0.12,-2.74,10.67,11.74,6.11,-2.15,-39.85,0.33,-5.72,43.46,31.9,-25.56
dic-21,-0.57,0.46,-2.87,-0.41,9.99,-8.31,11.39,3.72,-40.11,-3.03,-9.38,34.9,36.75,-44.33
ene-22,-1.62,2.02,3.37,3.2,8.02,27.69,5.13,-14.59,-48.24,15.39,-8.68,47.18,36.49,7.76
feb-22,0.23,2.45,0.42,2.42,12.35,15.11,1.42,-10.24,-47.1,13.39,-9.96,59.59,40.53,-20.29
mar-22,0.54,0.77,3.86,4.13,11.91,29.39,10.71,-4.63,-50.35,10.13,-4.52,57.82,42.84,-25.08
abr-22,-0.91,0.74,-1.14,-0.48,7.94,25.04,8.45,-3.18,-47.4,6.97,-4.86,29.95,30.13,-0.54
may-22,-0.22,1.62,-0.12,0.65,6.77,26.84,8.79,-2.67,-44.74,9.41,-4.44,26.73,23.32,-1.55
jun-22,0.23,-1.77,0.21,0.21,7.41,21.08,13.31,-6.73,-45.06,11.11,-8.31,24.4,12.52,-13.36
jul-22,0.07,0.61,2.28,-0.32,8.04,21.22,13.4,-3.24,-34.28,17.34,-10.7,37.23,17.12,-17.11
ago-22,-0.54,0.25,0.12,0.07,13.96,27.32,10.04,-2.39,-18.1,12.78,-14.03,23.9,16.37,-11.81
sep-22,0.01,-0.18,-0.2,1.13,4.9,20.91,5.97,-6.19,-11.37,12.62,-14.55,20.38,14.1,12.28
oct-22,0.23,0.67,2.2,0.99,3.45,29.25,11.45,8.75,-6.97,7.71,-6.97,19.1,16.14,-17.21
nov-22,-0.59,0.91,-1.09,-0.81,0.84,16.53,26.6,15.63,-8.31,6.35,-1.57,15.78,13.11,-17.94
dic-22,0.58,1.98,1.13,3.23,3.56,29.77,30.54,4.03,-8.7,6.54,1.87,24.13,11.49,12.97
ene-23,-1.07,0.07,-0.74,-3.39,1.49,8.67,21.73,19.44,8.84,8.56,1.44,26.41,6.21,-1.5
feb-23,0.02,-0.33,1.28,0.7,2.47,11.67,22.48,14.27,6.22,5.29,5.15,8.28,0.72,17.65
mar-23,0.03,0.32,0.16,-0.17,-0.71,9.75,17.65,9.25,2.71,11.59,5.81,3.25,-8.09,13.62
abr-23,0.28,0.99,-0.61,-0.04,0.58,9.51,18.57,4.41,5.44,9.73,3.66,15.86,-3.53,2.15
may-23,0.58,0.58,0.93,1.2,2.99,8.76,19.19,8.83,3.4,7.82,-0.82,16.59,1.58,5.31
jun-23,-0.43,1.27,-0.12,0.02,-0.72,8.36,14.25,14.5,7.78,6.23,4.73,18.77,1.82,-6.64
jul-23,0.85,0.45,0.62,-0.45,-4.17,10.81,10.44,7.31,8.79,3.81,2.89,6.74,-0.34,6.73
ago-23,0.26,0.39,0.15,0.34,-7.23,8.23,7.06,14.08,10.15,6.51,3.56,7.41,-0.53,7.46
sep-23,0.01,0.57,1.28,1.73,-1.83,8.88,12.17,11.68,14.18,4.1,8.02,7.62,0.71,2.03
oct-23,-0.23,0.21,-1.54,-3.02,-3.26,2.65,9.04,4.48,13.03,6.6,5.02,7.03,-5.24,0.05
nov-23,-0.01,1.09,0.93,0.66,-0.76,4.55,5.58,-0.03,12.75,12.52,0.18,7.69,-1.6,9.85
dic-23,0.5,2.79,1.02,1.04,-2.01,1.6,3.66,3.77,9.21,17.14,2.49,8.76,-0.16,2.57
ene-24,0.77,0.76,0.33,-0.04,1.77,4.84,8.72,29.35,-0.91,5.87,3.87,5.73,1.89,6.03
