Periodo,Volumen_producción,Personal_ocupado,Horas_trabajadas,Remuneraciones_medias_reales
abr-15,0.9,-0.01,1.74,-1.04
may-15,-0.86,0.37,-1.19,1.34
jun-15,0.29,0.25,0.16,-0.78
jul-15,-0.64,-0.05,0.59,0.52
ago-15,0.61,0.04,0.09,0.23
sep-15,1.54,0.65,0.1,-0.85
oct-15,1.35,0.4,0.83,1.16
nov-15,-2.17,0.13,-0.15,0.46
dic-15,1.44,-0.04,-0.03,-0.46
ene-16,-0.56,0.71,0.91,0.37
feb-16,-1.11,0.45,0.21,-0.19
mar-16,-1.81,-0.17,0.57,0.21
abr-16,0.07,0.25,0.05,1.52
may-16,0.15,0.39,0.97,-0.38
jun-16,0.75,0.31,-0.13,0.67
jul-16,-0.22,0.22,-0.65,-0.07
ago-16,0.55,0.41,0.99,0.4
sep-16,-0.72,0.64,0.61,1.27
oct-16,0.98,0.26,0.07,-0.8
nov-16,0.26,0.15,0.7,-0.71
dic-16,0.68,0.44,0.81,0.2
ene-17,0.92,0.47,0.36,-0.46
feb-17,0.8,0.35,-0.19,-0.73
mar-17,0.92,0.8,1.25,0.05
abr-17,-0.61,0.03,-1.09,0.46
may-17,-0.87,0.1,0.4,-0.0
jun-17,-0.72,0.38,1.28,-0.14
jul-17,-1.08,0.64,-0.47,-0.33
ago-17,1.29,0.46,0.75,-0.5
sep-17,-3.53,0.1,-0.01,1.25
oct-17,2.77,0.04,0.08,-0.13
nov-17,0.64,0.57,0.68,-0.12
dic-17,-0.28,0.34,0.73,-1.02
ene-18,-0.84,0.09,-0.36,0.08
feb-18,-0.85,0.35,-0.22,1.14
mar-18,2.36,0.27,-0.08,0.3
abr-18,-1.29,0.32,0.81,-0.38
may-18,1.83,0.34,-0.03,4.58
jun-18,-0.7,0.32,-0.35,-3.67
jul-18,0.47,0.14,0.68,-1.11
ago-18,0.45,0.33,0.18,0.2
sep-18,-0.49,0.11,0.46,-0.58
oct-18,-1.13,0.24,0.02,0.06
nov-18,0.87,0.34,-0.5,0.0
dic-18,-1.89,-0.06,-0.05,0.61
ene-19,-0.37,0.31,0.0,0.83
feb-19,1.76,0.21,0.87,-0.37
mar-19,-1.34,0.18,-0.04,0.17
abr-19,1.06,-0.01,0.51,0.39
may-19,0.9,0.27,0.19,3.63
jun-19,0.99,-0.04,-0.33,-3.38
jul-19,0.39,0.2,0.58,-0.36
ago-19,-1.19,-0.26,-0.45,1.37
sep-19,0.35,-0.3,-0.7,-0.05
oct-19,-4.56,-0.32,-0.39,-0.97
nov-19,2.33,-0.3,-0.25,0.72
dic-19,-1.79,-0.27,-0.96,0.17
ene-20,1.57,0.2,0.67,-1.04
feb-20,-0.61,-0.03,0.64,0.68
mar-20,-5.47,-0.69,-2.52,-0.95
abr-20,-31.17,-1.59,-24.33,-1.35
may-20,1.31,-1.35,4.62,0.03
jun-20,34.84,0.21,16.53,0.33
jul-20,6.0,0.84,3.41,1.84
ago-20,1.75,0.37,2.06,0.96
sep-20,5.67,0.36,0.87,-0.74
oct-20,0.95,0.84,1.41,2.61
nov-20,-0.77,0.24,-0.28,-0.58
dic-20,1.41,0.79,0.76,-0.9
ene-21,-0.82,0.31,0.05,1.02
feb-21,-3.09,0.11,0.54,-0.81
mar-21,5.75,0.31,1.05,1.12
abr-21,-2.88,0.09,-0.23,-2.84
may-21,-1.21,-0.27,0.02,2.57
jun-21,0.93,0.54,0.5,-3.15
jul-21,-0.07,0.69,0.26,3.9
ago-21,-0.16,-0.61,0.05,-0.18
sep-21,-1.25,0.41,0.05,0.75
oct-21,2.46,-0.01,0.09,0.5
nov-21,1.65,0.32,0.85,0.08
dic-21,2.07,-0.05,0.09,1.23
ene-22,0.57,0.23,0.58,-0.29
feb-22,0.54,0.56,0.11,0.63
mar-22,0.41,0.68,0.5,-1.27
abr-22,-0.05,-0.31,-0.31,1.75
may-22,1.2,0.08,0.99,-1.06
jun-22,-3.58,-0.04,-1.36,-0.08
jul-22,3.37,-0.23,0.46,0.44
ago-22,1.02,0.22,-0.1,-0.92
sep-22,-1.12,0.28,-0.3,1.36
oct-22,1.52,-0.15,0.43,-0.74
nov-22,0.09,0.13,0.02,0.33
dic-22,0.89,0.19,0.8,1.17
ene-23,-0.69,-0.67,0.1,0.65
feb-23,-1.45,-0.04,-1.36,-0.27
mar-23,0.7,-0.2,-0.53,1.41
abr-23,1.58,-0.03,0.71,0.43
may-23,-0.57,0.14,-0.71,1.05
jun-23,-0.87,0.19,0.86,0.38
jul-23,0.79,-0.11,-0.72,-0.58
ago-23,-1.54,0.17,0.15,-0.19
sep-23,1.83,-0.79,0.1,1.43
oct-23,-0.64,-0.01,-0.47,-0.93
nov-23,-0.78,-0.13,-0.61,1.03
dic-23,0.31,-0.26,0.18,0.38
ene-24,1.26,-0.57,-0.4,-0.05
feb-24,-0.39,-0.12,-0.23,0.99
mar-24,1.42,-0.5,-0.17,1.24
abr-24,-0.63,0.46,-0.44,-1.48
may-24,-1.22,0.02,0.54,1.39
jun-24,1.41,-0.22,-0.61,0.03
jul-24,0.24,0.14,0.08,-1.54
ago-24,0.73,-0.16,0.11,2.51
sep-24,1.24,-0.31,-0.11,-0.36
