Periodo,Exportaciones_totales_Mensual,Exportaciones_totales_Anual,Importaciones_totales_Mensual,Importaciones_totales_Anual,Saldo_total_MDD,Saldo_petrolero_MDD,Saldo_no_petrolero_MDD,Export_petroleras_Mensual,Export_petroleras_Anual,Export_no_petroleras_Mensual,Export_no_petroleras_Anual,Export_agropecuarias_Anual,Export_extractivas_Anual,Export_manufacturas_Anual,Export_automotriz_Mensual,Export_automotriz_Anual,Export_resto_manuf_Anual,Import_consumo_Mensual,Import_consumo_Anual,Import_intermedios_Mensual,Import_intermedios_Anual,Import_capital_Mensual,Import_capital_Anual
ago-13,-1.04,4.11,-1.28,4.57,136.49,479.96,-343.46,-8.34,-12.96,0.08,7.06,1.97,7.32,7.24,2.06,20.07,2.13,-1.13,8.09,-1.03,4.63,-3.32,-0.71
sep-13,0.65,4.92,-0.88,2.51,621.42,741.3,-119.88,-0.11,-15.04,0.76,8.47,-2.4,-29.1,9.65,1.16,20.87,5.08,-1.26,5.4,-0.57,3.25,-2.62,-6.51
oct-13,-0.16,4.43,0.59,-1.15,384.36,985.48,-601.12,4.98,-7.53,-0.88,6.46,14.9,-10.87,6.48,-4.05,13.35,3.67,0.55,1.19,0.2,-1.59,3.69,-1.21
nov-13,-1.21,1.39,-1.28,-1.52,401.89,434.55,-32.66,-12.22,-14.83,0.41,3.94,16.54,-9.31,3.75,2.11,10.22,1.02,-3.08,-9.88,-1.08,0.88,-0.15,-5.65
dic-13,2.6,3.62,0.54,0.67,1053.81,1483.62,-429.81,26.42,12.91,-0.47,2.25,13.14,40.07,1.36,-3.78,4.58,0.01,0.72,5.0,-0.15,-0.54,5.3,3.6
ene-14,-3.84,0.49,2.33,0.14,-915.76,597.84,-1513.6,-9.78,-14.67,-2.87,3.28,12.25,24.55,2.66,0.11,6.65,0.92,4.34,0.17,2.88,0.47,-4.26,-2.31
feb-14,4.8,4.26,2.05,1.71,-76.42,560.8,-637.21,2.26,-5.23,5.19,5.83,7.48,32.34,5.42,7.56,13.06,2.16,1.07,0.58,2.1,2.43,3.05,-1.76
mar-14,-0.29,2.54,0.77,2.0,-421.29,243.25,-664.54,-9.21,-7.7,1.03,4.08,1.4,4.79,4.17,0.05,7.34,2.75,-2.02,-13.67,1.5,6.25,-0.61,-2.24
abr-14,2.82,5.62,1.28,3.69,72.18,302.07,-229.89,1.68,-14.32,2.97,8.95,13.36,3.25,8.88,2.75,14.35,6.51,6.89,0.02,0.08,4.92,2.37,0.47
may-14,-0.46,7.93,0.64,6.29,-293.47,363.29,-656.76,-4.78,3.19,0.11,8.56,6.13,21.46,8.46,3.32,12.0,6.82,-5.7,1.87,2.03,7.5,-0.21,3.83
jun-14,-0.17,4.84,0.31,5.95,-456.38,382.03,-838.41,4.66,2.24,-0.78,5.2,6.26,34.58,4.73,-2.99,5.6,4.33,5.02,4.91,0.28,6.96,-6.06,-0.08
jul-14,-0.04,3.45,-1.97,3.03,194.21,359.99,-165.79,-13.12,-21.34,1.68,7.25,22.26,44.84,6.28,4.82,13.2,3.16,-2.22,2.49,-3.09,3.04,7.45,3.77
ago-14,1.29,5.88,4.77,9.34,-949.59,116.17,-1065.76,4.46,-10.35,0.94,8.16,6.73,-25.2,8.79,4.03,15.38,5.7,1.41,5.12,6.56,10.94,-3.46,3.62
sep-14,0.13,5.33,-5.05,4.73,841.09,-37.31,878.4,-1.44,-11.55,0.31,7.68,12.79,16.58,7.39,-6.36,6.81,7.66,-6.32,-0.27,-5.25,5.72,-1.59,4.71
oct-14,0.03,5.53,0.72,4.87,614.53,-114.86,729.39,-11.55,-25.48,1.35,10.1,22.71,-6.7,9.9,7.74,19.93,5.4,3.27,2.42,0.02,5.53,2.46,3.48
nov-14,-2.1,4.57,4.84,11.37,-1693.95,-1024.04,-669.91,-0.97,-15.92,-2.22,7.22,17.95,-5.87,7.01,-4.08,12.66,4.41,11.46,17.79,3.97,10.92,1.84,5.54
dic-14,0.18,2.11,-3.54,6.85,-409.05,-737.69,328.64,-18.13,-45.55,2.03,9.91,-4.55,-24.81,11.1,-1.72,15.08,9.35,-12.32,2.54,-2.11,8.74,-0.68,-0.46
ene-15,-3.39,2.58,-2.49,1.82,-696.55,-727.57,31.01,-8.2,-44.6,-3.0,9.75,8.93,-13.08,10.18,3.55,19.04,6.11,0.29,-1.44,-3.91,1.56,4.45,8.6
feb-15,-0.54,-2.65,-1.04,-1.26,-531.52,-606.22,74.7,-2.37,-47.11,-0.4,3.92,8.39,19.03,3.51,-6.84,3.09,3.7,-3.08,-5.48,0.49,-0.05,-8.97,-4.07
mar-15,2.45,0.02,2.73,0.67,-635.05,-445.0,-190.05,0.53,-41.44,2.6,5.53,7.68,-21.6,5.88,9.51,12.83,2.64,-2.3,-5.75,2.49,0.92,11.79,7.91
abr-15,-1.22,-3.91,-0.15,-0.75,-983.29,-620.14,-363.14,-11.86,-49.24,-0.44,2.04,3.85,-24.92,2.38,0.84,10.74,-1.5,0.5,-11.38,0.09,0.94,-2.65,2.62
may-15,-2.64,-6.01,-0.34,-1.71,-1717.57,-348.34,-1369.24,16.64,-37.82,-3.9,-2.04,6.11,-37.48,-1.77,-2.82,4.15,-4.65,6.74,0.3,-1.71,-2.76,0.5,3.34
jun-15,3.7,-2.36,2.5,0.43,-1383.37,-703.54,-679.83,-6.15,-44.24,4.48,3.15,3.13,15.18,2.93,0.94,8.37,0.36,1.54,-3.02,2.23,-0.87,5.74,16.33
jul-15,-0.42,-2.73,-1.36,1.06,-1060.0,-885.91,-174.09,-6.75,-40.15,0.03,1.48,3.94,-48.8,2.24,1.83,5.27,0.73,-2.82,-3.62,-0.32,1.96,-6.56,1.16
ago-15,-1.78,-5.68,1.91,-1.7,-2270.23,-1846.75,-423.48,-7.74,-47.15,-1.38,-0.85,14.04,-2.46,-1.35,-3.63,-2.48,-0.77,15.0,9.3,-0.29,-4.59,0.15,4.95
sep-15,-0.59,-6.35,-3.83,-0.44,-1153.52,-868.36,-285.16,-8.46,-50.91,-0.1,-1.26,13.4,0.25,-1.8,-0.32,3.81,-4.41,-14.57,-0.32,-2.2,-1.52,1.08,7.8
oct-15,2.04,-4.46,0.6,-0.55,-705.99,-798.48,92.49,1.8,-43.5,2.06,-0.57,-2.05,-18.18,-0.29,0.98,-2.7,0.94,-1.07,-4.5,1.12,-0.44,-0.85,4.32
nov-15,-3.88,-6.2,-0.69,-5.8,-1726.64,-938.62,-788.02,-11.42,-49.46,-3.45,-1.82,-4.45,-2.01,-1.71,-3.88,-2.5,-1.32,2.06,-12.55,-0.98,-5.18,-2.26,0.11
dic-15,-3.79,-9.91,-3.57,-5.83,-1732.11,-1251.11,-480.99,-21.65,-51.63,-2.86,-6.52,16.32,-0.38,-7.35,2.43,1.61,-11.52,-1.42,-1.68,-3.81,-6.83,-4.8,-4.04
ene-16,3.81,-3.19,1.07,-2.39,-934.51,-991.64,57.13,0.34,-47.13,3.96,0.18,10.76,-16.53,0.01,6.69,4.69,-2.4,-5.41,-7.27,2.34,-0.76,0.92,-7.28
