Periodo,Exportaciones_totales_Mensual,Exportaciones_totales_Anual,Importaciones_totales_Mensual,Importaciones_totales_Anual,Saldo_total_MDD,Saldo_petrolero_MDD,Saldo_no_petrolero_MDD,Export_petroleras_Mensual,Export_petroleras_Anual,Export_no_petroleras_Mensual,Export_no_petroleras_Anual,Export_agropecuarias_Anual,Export_extractivas_Anual,Export_manufacturas_Anual,Export_automotriz_Mensual,Export_automotriz_Anual,Export_resto_manuf_Anual,Import_consumo_Mensual,Import_consumo_Anual,Import_intermedios_Mensual,Import_intermedios_Anual,Import_capital_Mensual,Import_capital_Anual
ene-93,,,,,-1160.91,468.58,-1629.49,,,,,,,,,,,,,,,,
feb-93,2.52,,5.35,,-1333.68,437.32,-1771.0,2.0,,2.62,,,,,16.59,,,3.54,,5.94,,4.17,
mar-93,0.63,,-0.76,,-1267.9,534.86,-1802.76,7.86,,-0.8,,,,,-3.75,,,1.94,,-0.62,,-3.17,
abr-93,4.41,,3.48,,-1274.56,471.21,-1745.76,-6.68,,6.81,,,,,7.04,,,2.22,,4.33,,0.77,
may-93,-1.06,,-0.89,,-1270.1,461.31,-1731.4,-3.83,,-0.53,,,,,-0.98,,,-2.21,,-1.59,,3.17,
jun-93,6.3,,1.89,,-1110.36,434.59,-1544.95,-0.24,,7.5,,,,,18.23,,,4.9,,1.97,,-0.52,
jul-93,-0.8,,5.04,,-1424.85,454.27,-1879.13,0.14,,-0.96,,,,,-10.41,,,7.23,,5.71,,0.54,
ago-93,-4.92,,-10.41,,-1035.41,476.28,-1511.69,0.1,,-5.78,,,,,-6.51,,,-6.79,,-13.11,,-0.98,
sep-93,5.99,,6.34,,-1115.59,406.75,-1522.33,-5.18,,8.02,,,,,15.04,,,-2.36,,9.13,,1.59,
oct-93,8.19,,0.76,,-795.14,461.52,-1256.66,3.83,,8.89,,,,,5.95,,,-0.14,,0.57,,2.19,
nov-93,-6.47,,-5.26,,-811.17,440.11,-1251.28,-3.2,,-6.97,,,,,-2.51,,,-0.95,,-5.72,,-6.28,
dic-93,7.11,,8.22,,-927.43,412.38,-1339.81,-10.18,,9.86,,,,,-1.23,,,1.15,,9.53,,7.83,
ene-94,-4.4,17.37,6.06,19.78,-1485.0,383.92,-1868.93,1.65,-14.09,-5.18,23.66,-12.81,61.05,26.24,6.01,46.53,20.37,10.63,19.55,5.85,21.45,3.83,13.13
feb-94,3.53,18.53,5.49,19.95,-1656.39,379.38,-2035.78,-1.06,-16.67,4.17,25.53,22.73,-8.97,26.06,-7.36,16.43,29.32,-0.3,15.12,6.82,22.46,3.88,12.82
mar-94,0.52,18.39,-3.08,17.14,-1434.88,350.24,-1785.12,-0.61,-23.22,0.66,27.39,16.32,51.26,28.01,14.32,38.29,24.67,3.44,16.81,-5.4,16.56,2.85,19.84
abr-94,-0.14,13.22,3.83,17.53,-1679.17,404.65,-2083.82,10.03,-9.46,-1.47,17.51,-0.96,-10.21,19.06,-4.39,23.52,17.61,5.08,20.08,4.1,16.31,1.82,21.08
may-94,3.13,18.01,1.14,19.94,-1603.81,440.77,-2044.58,5.3,-0.87,2.81,21.46,-1.7,40.31,22.91,7.7,34.35,19.23,9.68,34.69,1.19,19.59,-5.25,11.21
jun-94,3.82,15.25,2.98,21.23,-1610.78,438.9,-2049.68,3.23,2.58,3.9,17.4,5.45,42.12,17.95,0.1,13.76,19.46,-5.62,21.18,3.93,21.89,5.93,18.42
jul-94,-0.48,15.62,1.03,16.61,-1704.77,518.91,-2223.68,6.05,8.63,-1.45,16.82,-2.07,-2.42,18.16,-3.8,22.15,16.89,-1.08,11.79,0.09,15.41,6.81,25.8
ago-94,-0.54,20.95,-1.25,28.53,-1647.06,450.26,-2097.32,-4.2,3.96,0.05,24.05,-9.79,40.42,26.29,2.74,34.25,23.77,0.36,20.36,-1.97,30.21,0.63,27.84
sep-94,-0.65,13.38,-1.48,19.09,-1580.77,392.98,-1973.75,-9.07,-0.3,0.64,15.57,-3.46,0.03,16.86,-3.9,12.14,18.47,-2.27,20.47,-0.63,18.57,-4.38,20.33
oct-94,6.76,11.88,5.73,24.96,-1619.84,401.77,-2021.61,5.0,0.82,7.0,13.56,5.39,20.29,14.16,-1.35,4.42,17.43,4.36,25.89,5.58,24.48,7.33,26.38
nov-94,10.05,31.64,1.37,33.71,-1177.46,543.94,-1721.4,15.62,20.43,9.29,33.41,27.25,47.12,33.72,40.92,50.93,27.65,2.54,30.33,-0.07,31.94,6.54,43.66
dic-94,-5.48,16.15,-1.52,21.67,-1392.81,462.19,-1855.0,-4.85,27.58,-5.57,14.67,39.27,29.94,13.0,-22.2,18.89,11.2,-2.31,25.87,0.37,20.91,-8.38,22.06
ene-95,12.88,37.14,-7.53,6.08,-151.42,446.57,-597.99,-5.45,18.66,15.52,39.71,90.52,-16.91,37.57,37.2,53.87,31.82,-29.27,-19.52,1.01,15.38,-28.65,-16.13
feb-95,0.58,33.23,-7.37,-6.85,359.31,548.31,-189.01,15.29,38.27,-1.16,32.56,64.18,48.7,30.23,-8.55,51.9,23.61,-12.44,-29.32,-6.03,1.5,-11.93,-28.89
mar-95,0.06,32.62,2.64,-1.36,205.47,451.17,-245.69,-5.11,32.02,0.77,32.7,65.08,58.06,30.4,-8.4,21.71,33.53,-12.88,-40.47,3.43,10.98,8.28,-25.14
abr-95,-1.68,30.58,-9.44,-13.97,677.43,486.58,190.85,-1.81,17.81,-1.66,32.44,45.56,54.38,31.53,0.65,28.13,32.69,-5.18,-46.28,-7.7,-1.6,-22.54,-43.04
may-95,5.81,33.98,4.05,-11.5,814.35,526.42,287.93,9.48,22.49,5.33,35.69,51.17,92.76,34.45,14.68,36.43,33.73,1.38,-50.35,3.4,0.55,10.63,-33.5
jun-95,-0.51,28.39,1.48,-12.79,695.36,529.89,165.47,-4.4,13.44,0.01,30.6,77.03,45.57,28.04,-8.35,24.91,29.11,-3.46,-49.21,1.3,-2.0,5.8,-33.58
jul-95,-1.68,26.85,-1.95,-15.37,699.97,503.89,196.08,-1.86,4.98,-1.65,30.33,70.82,87.65,27.85,0.61,30.64,26.92,-6.42,-51.95,-1.85,-3.9,-0.07,-37.86
ago-95,7.99,37.72,7.48,-7.89,784.93,585.69,199.24,9.05,19.5,7.85,40.5,94.14,41.02,37.83,6.02,34.8,38.87,22.12,-41.53,7.32,5.21,0.68,-37.83
sep-95,1.17,40.24,0.84,-5.72,814.48,498.33,316.16,-11.12,16.8,2.77,43.47,83.83,57.37,41.33,5.16,47.51,39.33,-6.79,-44.24,1.9,7.89,-1.49,-35.95
oct-95,-4.3,25.71,-3.0,-13.5,698.14,378.36,319.78,-19.18,-10.1,-2.63,30.55,11.7,31.91,31.9,5.84,58.25,24.03,-5.33,-49.41,-2.97,-0.85,-1.74,-41.36
nov-95,2.06,16.58,2.65,-12.41,676.94,449.55,227.39,13.76,-11.55,0.97,20.6,15.25,26.56,20.89,-1.72,10.36,25.28,-1.7,-51.5,3.3,2.49,0.62,-44.62
dic-95,4.96,29.46,4.56,-7.0,735.61,589.86,145.75,21.0,12.49,3.28,31.91,-0.05,-3.1,34.71,0.62,42.74,32.09,13.97,-43.42,3.66,5.85,5.6,-36.17
ene-96,3.23,18.39,1.2,1.77,890.74,581.78,308.96,4.66,24.52,3.05,17.67,-22.78,6.89,20.85,23.88,28.87,17.56,4.6,-16.34,0.64,5.46,3.02,-7.83
feb-96,-0.66,16.94,5.07,15.44,509.63,672.02,-162.39,6.34,14.86,-1.53,17.22,-28.64,1.42,21.42,-7.58,30.23,18.11,5.55,0.85,5.52,18.41,1.67,6.4
mar-96,1.31,18.4,0.06,12.54,601.91,728.47,-126.56,5.77,28.03,0.7,17.15,-21.8,-33.85,20.83,-3.0,37.9,15.24,0.18,15.96,-0.4,14.03,3.27,1.48
abr-96,3.55,24.69,4.09,29.36,585.78,745.21,-159.43,5.43,37.48,3.28,23.03,1.59,-16.11,24.74,9.0,49.34,16.61,0.64,23.07,4.18,28.71,5.66,38.41
may-96,1.54,19.66,3.95,29.24,421.65,660.72,-239.07,-8.09,15.41,2.93,20.23,16.49,-29.22,20.96,-2.52,26.93,18.75,3.24,25.33,4.59,30.2,0.04,25.16
jun-96,-2.33,17.47,-5.67,20.15,660.19,779.22,-119.03,11.67,34.81,-4.14,15.24,-11.57,-22.58,17.52,-2.97,34.37,11.91,-10.56,16.12,-6.3,20.43,1.93,20.58
jul-96,2.57,22.55,6.07,29.97,431.49,645.55,-214.07,-11.62,21.4,4.71,22.69,2.68,-40.85,24.69,8.05,44.31,17.97,5.8,31.28,6.7,30.93,2.04,23.12
ago-96,2.15,15.93,2.61,24.08,406.81,646.27,-239.46,5.48,17.42,1.73,15.73,-10.82,-10.07,17.78,-0.58,35.33,11.93,19.83,28.82,1.08,23.31,3.28,26.31
sep-96,3.86,19.0,1.75,25.2,583.87,802.2,-218.33,12.21,48.25,2.76,15.72,-7.67,-17.42,17.5,-1.13,27.24,14.16,-1.71,35.84,1.46,22.77,5.98,35.89
oct-96,0.34,24.77,4.14,34.41,289.82,856.72,-566.9,6.98,96.24,-0.62,18.11,-0.04,-15.72,19.46,-4.13,15.26,21.05,1.87,46.17,4.18,31.82,5.27,45.59
nov-96,1.98,24.68,-0.22,30.65,474.08,803.08,-329.0,-3.68,66.15,2.86,20.32,-2.47,-23.96,22.06,2.82,20.58,22.6,-1.11,47.04,-0.65,26.78,3.04,49.09
dic-96,-0.17,18.58,-5.27,18.38,885.11,818.08,67.03,8.41,48.85,-1.42,14.85,-4.17,9.91,15.99,6.86,28.06,11.73,5.49,36.1,-7.33,13.34,1.25,42.94
ene-97,4.38,19.9,6.79,24.92,739.38,781.42,-42.04,-7.85,31.06,6.33,18.51,14.22,-2.84,18.86,2.49,5.95,24.68,-15.0,10.6,10.52,24.47,-1.19,37.1
feb-97,-3.23,16.8,1.28,20.41,346.81,721.59,-374.77,-4.83,17.28,-3.0,16.74,8.33,14.2,17.19,-11.01,2.03,23.46,0.52,5.33,1.17,19.35,2.31,37.97
mar-97,2.36,18.02,3.54,24.6,257.27,634.37,-377.1,-1.76,8.92,2.92,19.31,8.69,-6.86,20.01,8.54,14.18,22.3,4.44,9.81,3.65,24.19,2.41,36.83
abr-97,0.66,14.73,2.46,22.65,104.38,590.66,-486.28,-6.42,-3.33,1.58,17.34,5.93,34.0,17.84,-6.82,-2.39,26.4,37.74,50.3,-2.05,16.77,12.69,45.93
may-97,-0.73,12.17,-0.58,17.3,90.33,583.77,-493.44,-6.15,-1.28,-0.08,13.9,-9.55,0.34,15.36,0.68,0.81,21.11,-8.53,33.16,1.13,12.9,-4.91,38.71
jun-97,4.82,20.38,4.08,29.42,159.74,565.92,-406.18,-1.45,-12.88,5.52,25.39,3.29,-2.26,26.76,7.19,11.37,32.91,6.09,57.94,3.54,24.76,6.0,44.25
jul-97,0.06,17.44,2.76,25.38,-85.73,592.71,-678.43,8.13,6.59,-0.78,18.81,-9.47,56.76,20.27,1.43,4.55,26.86,-0.04,49.22,3.65,21.18,-0.58,40.54
ago-97,-0.37,14.53,0.34,22.61,-152.31,562.29,-714.6,-0.95,0.09,-0.31,16.43,5.24,-7.74,17.17,-4.73,0.19,24.02,3.53,28.92,-0.79,18.94,5.11,43.03
sep-97,1.12,11.51,1.7,22.56,-209.23,466.41,-675.64,-3.87,-14.25,1.68,15.21,7.2,3.01,15.69,-1.59,-0.27,21.78,10.04,44.34,0.96,18.36,0.88,36.14
oct-97,2.23,13.61,1.12,19.01,-108.5,528.84,-637.34,3.61,-16.95,2.08,18.34,16.81,17.39,18.42,16.3,20.97,17.49,-0.8,40.56,1.42,15.23,0.69,30.22
nov-97,3.4,15.19,3.37,23.29,-108.79,663.64,-772.43,17.95,1.7,1.82,17.15,27.59,-4.42,16.76,2.9,21.07,15.21,6.64,51.58,2.57,18.96,5.78,33.69
dic-97,-2.5,12.51,-1.11,28.69,-244.46,401.77,-646.23,-27.19,-31.7,0.61,19.56,18.61,-19.77,19.83,4.28,18.15,20.51,0.63,44.6,-2.18,25.57,3.56,36.74
ene-98,0.55,8.38,3.87,25.18,-573.98,362.33,-936.31,1.59,-24.7,0.45,12.95,10.63,-4.02,13.14,-8.64,5.32,16.14,5.08,78.76,4.72,18.98,-1.23,36.68
feb-98,-0.98,10.9,0.43,24.13,-712.48,237.43,-949.9,-21.27,-37.7,0.89,17.49,-2.7,-32.5,18.77,-3.86,13.78,20.47,-1.16,75.79,1.01,18.79,-1.68,31.34
mar-98,3.61,12.25,1.99,22.28,-571.52,255.38,-826.89,-0.31,-36.78,3.9,18.6,0.8,32.54,19.39,7.34,12.52,21.9,2.0,71.68,1.7,16.56,3.61,32.87
abr-98,1.05,12.68,0.54,19.98,-524.26,332.19,-856.45,0.51,-32.1,1.08,18.02,9.27,-17.76,18.66,9.99,32.81,14.04,-9.18,13.19,1.94,21.3,-0.75,17.04
may-98,-1.27,12.07,-0.71,19.83,-576.41,318.2,-894.61,1.66,-26.45,-1.47,16.39,10.15,-8.5,16.8,-8.77,20.35,15.64,5.0,29.94,-1.85,17.73,2.31,25.92
jun-98,-2.31,4.46,-1.73,13.14,-623.26,234.06,-857.32,-7.91,-31.27,-1.91,8.19,11.4,5.08,8.06,-0.15,12.11,6.71,-1.28,20.92,-1.85,11.61,-1.39,17.15
jul-98,-4.21,0.0,-0.0,10.09,-1029.51,176.31,-1205.82,-7.1,-40.95,-4.01,4.67,10.59,10.16,4.38,-25.96,-18.17,12.16,7.79,30.39,-1.09,6.51,0.99,19.0
ago-98,1.38,1.76,-0.57,9.09,-843.35,191.5,-1034.85,-4.62,-43.14,1.76,6.84,-5.23,-37.06,7.62,19.5,2.64,9.24,-6.64,17.58,1.2,8.65,-5.93,6.51
sep-98,2.52,3.17,2.75,10.22,-888.46,250.52,-1138.98,5.4,-37.65,2.34,7.54,-25.48,20.93,9.06,11.91,16.72,6.67,-5.2,1.29,2.58,10.4,8.95,15.03
oct-98,2.08,3.02,-0.15,8.83,-672.46,226.04,-898.5,-5.28,-43.0,2.53,8.02,-20.85,4.39,9.49,1.95,2.33,12.16,10.9,13.24,0.15,9.01,-8.1,4.98
nov-98,4.51,4.12,2.99,8.43,-543.04,280.24,-823.28,14.38,-44.72,3.95,10.27,-23.31,11.13,12.02,8.32,7.72,13.65,-8.43,-2.77,4.7,11.27,0.93,0.17
dic-98,0.06,6.85,-2.04,7.42,-317.01,196.45,-513.45,-15.58,-35.91,1.04,10.75,-14.51,-16.11,12.05,2.11,5.48,14.66,0.35,-3.04,-2.25,11.19,-2.21,-5.41
ene-99,-1.82,4.34,-0.04,3.37,-499.64,230.8,-730.44,1.21,-36.15,-1.98,8.07,-5.11,-15.2,8.78,-6.76,7.65,9.18,-4.15,-11.56,-1.1,5.01,9.04,4.43
feb-99,2.49,7.99,1.96,4.95,-456.51,209.21,-665.72,-1.06,-19.76,2.68,9.99,7.44,16.07,10.07,12.62,26.09,4.89,1.69,-9.01,1.25,5.26,6.03,12.62
mar-99,3.33,7.7,2.68,5.66,-401.33,323.1,-724.43,21.94,-1.86,2.35,8.36,-3.51,-23.02,8.98,-1.14,16.13,6.57,5.22,-6.14,2.22,5.79,3.7,12.72
abr-99,0.74,7.38,2.03,7.23,-547.22,365.48,-912.7,8.75,6.19,0.24,7.46,-17.79,-17.03,8.66,0.08,5.66,9.8,2.23,5.65,2.57,6.44,-0.84,12.61
may-99,2.97,11.99,2.91,11.14,-556.7,354.89,-911.59,4.02,8.65,2.9,12.22,0.94,-14.58,12.82,0.35,16.23,11.66,6.65,7.31,2.63,11.31,2.3,12.6
jun-99,2.31,17.28,1.45,14.73,-468.63,312.54,-781.17,5.64,24.64,2.09,16.79,6.0,4.49,17.34,4.12,21.2,15.99,3.04,12.0,1.13,14.69,2.18,16.68
jul-99,1.52,24.29,0.41,15.21,-344.37,402.5,-746.88,12.7,51.2,0.73,22.56,1.53,-30.6,23.86,-0.35,63.13,13.97,1.33,5.29,0.51,16.54,-0.68,14.75
ago-99,2.33,25.46,2.4,18.65,-360.38,523.61,-883.99,10.7,75.49,1.66,22.45,1.77,69.08,23.19,3.52,41.32,17.63,-2.58,9.87,2.24,17.74,6.25,29.6
sep-99,-0.84,21.35,0.52,16.07,-522.95,526.25,-1049.2,3.84,72.88,-1.25,18.15,29.45,-23.44,17.99,-1.23,24.72,15.69,5.64,22.45,-0.42,14.29,2.54,21.96
oct-99,1.68,20.88,2.45,19.09,-624.79,455.48,-1080.26,-0.0,82.52,1.84,17.35,17.98,-4.12,17.43,-1.54,20.45,16.4,2.98,13.69,2.74,17.24,0.7,33.64
nov-99,4.37,20.72,1.23,17.05,-258.71,740.05,-998.77,19.39,90.51,3.03,16.32,10.99,-16.03,16.65,-3.87,6.89,20.16,0.82,25.17,2.47,14.74,-4.88,25.95
dic-99,0.41,21.15,1.5,21.28,-397.84,691.23,-1089.07,6.43,140.18,-0.21,14.87,10.69,41.03,14.95,4.61,9.51,16.93,6.48,32.82,2.13,19.89,-5.08,22.25
ene-00,4.76,29.27,6.06,28.67,-583.02,604.39,-1187.41,0.51,138.53,5.23,23.32,0.74,35.44,24.19,10.4,29.67,22.31,9.37,51.56,3.32,25.25,19.98,34.51
feb-00,3.08,30.01,0.54,26.88,-254.84,808.64,-1063.47,12.33,170.82,2.11,22.63,10.86,10.93,23.13,3.08,18.69,24.85,-4.47,42.36,3.2,27.67,-9.88,14.32
mar-00,-3.88,20.94,-2.44,20.55,-442.96,720.59,-1163.55,-1.67,118.38,-4.14,14.85,15.33,7.66,14.86,-9.1,9.12,16.97,-0.08,35.2,-1.75,22.71,-8.06,1.36
abr-00,1.73,22.12,3.71,22.53,-715.01,553.16,-1268.17,-13.25,74.2,3.51,18.59,29.06,12.67,18.27,7.6,17.33,18.61,6.39,40.7,2.24,22.32,10.9,13.36
may-00,3.13,22.3,3.59,23.34,-801.93,672.82,-1474.75,11.17,86.17,2.33,17.93,-1.13,67.28,18.52,1.03,18.13,18.65,3.12,36.05,3.92,23.86,2.03,13.05
jun-00,1.85,21.75,0.47,22.15,-618.05,851.55,-1469.6,15.6,103.72,0.36,15.93,-10.1,27.1,16.98,-1.11,12.19,18.74,5.93,39.87,-0.77,21.53,3.83,14.88
jul-00,1.19,21.35,3.33,25.7,-933.09,631.68,-1564.77,-20.8,43.17,3.93,19.62,-5.27,-9.38,20.66,5.94,19.26,21.16,-0.15,37.83,3.32,24.92,5.88,22.46
ago-00,2.81,21.92,1.29,24.34,-733.3,748.71,-1482.01,17.35,51.76,1.42,19.34,17.13,13.01,19.44,-0.84,14.24,21.36,-9.2,28.46,2.03,24.67,4.4,20.34
sep-00,-2.1,20.37,-0.25,23.39,-997.67,650.55,-1648.22,-0.96,44.75,-2.23,18.16,16.58,46.25,18.12,-6.28,8.41,21.7,13.86,38.46,-1.69,23.08,-0.96,16.24
oct-00,4.45,23.64,1.25,21.95,-560.85,752.41,-1313.26,4.1,50.69,4.48,21.23,5.37,10.85,21.85,16.2,27.94,19.7,-3.3,30.02,1.93,22.11,0.79,16.35
nov-00,-1.39,16.82,-0.31,20.1,-717.61,605.47,-1323.08,-8.7,15.23,-0.58,16.98,8.22,-4.63,17.34,5.54,40.47,9.94,15.01,48.33,-2.48,16.22,1.3,23.91
dic-00,0.38,16.78,1.48,20.07,-887.39,521.15,-1408.54,-8.11,-0.51,1.24,18.68,7.83,7.77,19.1,-13.66,15.93,20.18,-5.14,32.13,3.51,17.79,-4.12,25.17
ene-01,-4.65,6.29,-4.97,7.59,-796.99,571.99,-1368.98,8.07,6.97,-5.83,6.21,2.23,-19.78,6.44,-0.75,4.22,7.25,3.03,24.47,-5.41,7.84,-8.42,-4.46
feb-01,-1.91,1.14,-1.95,4.92,-775.81,658.14,-1433.95,-3.97,-8.55,-1.69,2.26,-11.99,-9.91,2.8,-5.24,-4.19,5.37,-4.15,24.9,-2.65,1.72,3.92,10.16
mar-01,3.02,8.4,2.76,10.51,-761.83,451.57,-1213.4,-7.55,-14.02,4.11,11.06,-4.32,9.61,11.62,9.6,15.53,10.28,11.54,39.42,1.91,5.5,0.62,20.57
abr-01,-1.95,4.48,-0.14,6.4,-1013.86,339.35,-1353.21,-6.41,-7.24,-1.54,5.65,-7.1,-26.99,6.21,-3.41,3.71,7.11,-6.24,22.86,1.29,4.53,-2.83,5.64
may-01,-4.15,-2.9,-4.86,-2.27,-868.06,326.0,-1194.05,2.27,-14.67,-4.71,-1.62,-3.32,-16.65,-1.5,3.84,6.59,-4.37,7.55,28.14,-6.74,-6.2,-4.25,-0.86
jun-01,1.45,-3.28,-0.46,-3.18,-612.52,544.81,-1157.33,2.27,-24.51,1.37,-0.64,-3.53,-42.42,-0.37,1.94,9.89,-3.94,-6.93,12.58,0.54,-4.96,-0.1,-4.6
jul-01,-3.64,-7.9,-3.01,-9.11,-679.0,553.17,-1232.17,-5.89,-10.3,-3.43,-7.68,4.23,-17.02,-8.0,-3.73,-0.14,-10.79,-3.82,8.45,-3.41,-11.16,-0.05,-9.94
ago-01,1.21,-9.34,0.95,-9.42,-652.59,471.7,-1124.29,0.86,-22.9,1.24,-7.85,-6.95,-19.31,-7.84,-1.22,-0.53,-10.37,8.77,29.92,0.72,-12.3,-4.27,-17.43
sep-01,-0.39,-7.75,0.75,-8.51,-805.47,443.44,-1248.91,-4.53,-25.68,-0.01,-5.76,-16.04,-41.43,-5.25,-0.35,5.76,-8.86,2.27,16.69,0.73,-10.14,-0.61,-17.14
oct-01,-1.15,-12.69,-0.56,-10.15,-878.32,277.14,-1155.45,-9.77,-35.58,-0.4,-10.16,-0.52,-15.11,-10.45,-1.94,-10.75,-10.33,-1.54,18.81,-0.65,-12.41,0.94,-17.02
nov-01,-2.1,-13.33,-1.75,-11.45,-907.61,417.54,-1325.15,-1.97,-30.83,-2.11,-11.55,-18.41,-0.5,-11.36,-1.19,-16.44,-9.28,-4.17,-1.01,-1.2,-11.26,-2.64,-20.25
dic-01,2.72,-11.3,1.07,-11.8,-709.98,514.13,-1224.11,1.0,-23.97,2.86,-10.13,-21.65,-45.81,-9.65,2.9,-0.41,-12.7,-0.68,3.65,0.95,-13.45,3.41,-13.99
ene-02,-1.15,-8.05,-3.39,-10.33,-398.11,474.29,-872.4,-0.22,-29.81,-1.23,-5.74,-15.79,26.25,-5.52,1.22,1.56,-8.02,-1.78,-1.19,-3.8,-11.98,-2.51,-8.43
feb-02,1.43,-4.92,4.83,-4.13,-851.19,459.31,-1310.51,4.36,-23.72,1.19,-2.97,-2.9,-11.86,-2.95,-2.2,4.82,-5.56,2.58,5.74,5.17,-4.91,4.98,-7.5
mar-02,3.27,-4.69,3.87,-3.1,-961.71,729.37,-1691.09,18.19,-2.48,2.05,-4.9,-10.41,-29.04,-4.66,-0.73,-5.06,-4.51,3.53,-1.85,5.33,-1.72,-3.96,-11.71
abr-02,3.93,1.02,-2.04,-4.94,-144.54,748.43,-892.97,10.07,14.69,3.35,-0.18,-15.41,10.15,0.28,13.28,11.34,-3.6,7.08,12.1,-3.7,-6.57,-0.54,-9.63
may-02,-3.65,1.55,1.86,1.76,-911.64,656.66,-1568.3,-3.02,8.77,-3.71,0.87,-12.15,-43.74,1.45,-5.77,1.03,1.61,2.87,7.22,0.41,0.6,9.36,3.21
jun-02,-0.21,-0.11,-1.22,1.0,-766.12,628.77,-1394.89,-3.84,2.27,0.16,-0.33,6.36,9.75,-0.57,-3.44,-4.31,0.92,-5.4,8.98,1.3,1.36,-10.83,-7.88
jul-02,1.77,5.51,0.74,4.89,-633.59,740.84,-1374.43,7.93,17.29,1.17,4.42,-10.48,38.91,4.84,0.07,-0.53,6.97,1.77,15.32,0.83,5.82,-0.91,-8.68
ago-02,-0.42,3.81,-0.31,3.58,-645.82,605.23,-1251.06,-3.87,11.78,-0.06,3.08,-19.77,-42.52,4.0,6.91,7.66,2.59,1.74,7.85,-0.19,4.86,-3.24,-7.69
sep-02,0.02,4.24,0.58,3.41,-724.93,724.97,-1449.9,6.09,24.22,-0.58,2.49,-17.32,17.21,3.08,-6.15,1.39,3.72,-5.43,-0.27,1.71,5.87,-0.12,-7.23
oct-02,-0.99,4.41,-2.16,1.75,-552.12,816.91,-1369.03,9.5,50.75,-2.11,0.72,-11.46,-41.11,1.29,-4.6,-1.36,2.28,8.0,9.4,-4.43,1.84,2.29,-5.98
nov-02,0.58,7.27,0.1,3.66,-488.57,576.1,-1064.68,-12.6,34.4,2.14,5.11,22.64,23.56,4.55,4.26,4.08,4.72,-1.24,12.74,0.06,3.13,1.79,-1.7
dic-02,0.2,4.63,-0.09,2.47,-448.74,896.49,-1345.23,29.45,72.26,-2.77,-0.65,23.47,52.16,-1.41,-7.95,-6.89,0.64,-2.38,10.82,0.52,2.69,-1.32,-6.2
ene-03,4.75,10.88,0.85,6.97,73.71,1214.23,-1140.52,19.34,106.03,2.77,3.37,33.57,-21.25,2.62,8.89,0.16,3.58,4.79,18.23,0.58,7.37,-1.64,-5.36
feb-03,-1.57,7.6,-1.56,0.45,69.86,1103.86,-1034.0,-2.72,92.05,-1.39,0.73,7.81,8.17,0.5,1.91,4.37,-0.94,-3.92,10.74,-0.68,1.4,-4.39,-13.81
mar-03,-3.79,0.25,2.37,-1.0,-785.21,424.18,-1209.39,-29.37,14.76,0.18,-1.12,21.99,61.48,-1.93,-0.58,4.53,-4.24,-1.48,5.38,2.57,-1.25,5.34,-5.46
abr-03,-0.49,-4.01,0.37,1.44,-902.72,637.38,-1540.1,2.36,6.72,-0.8,-5.09,20.84,24.4,-5.84,-0.79,-8.45,-4.79,-0.95,-2.53,0.42,2.98,1.41,-3.61
may-03,-2.82,-3.18,-2.33,-2.74,-946.05,593.81,-1539.86,-10.78,-1.82,-1.92,-3.32,24.63,44.16,-4.18,-1.74,-4.53,-4.05,-5.96,-10.89,-2.43,0.07,1.96,-10.13
jun-03,3.32,0.25,0.32,-1.22,-560.32,716.97,-1277.3,20.66,23.19,1.54,-1.98,11.37,22.51,-2.49,0.4,-0.73,-3.15,4.76,-1.32,0.34,-0.88,-4.02,-3.26
jul-03,1.52,0.01,1.86,-0.12,-615.3,816.4,-1431.7,4.77,19.58,1.13,-2.02,26.7,23.19,-2.92,3.79,2.97,-5.1,2.38,-0.73,2.11,0.38,-0.27,-2.63
ago-03,-1.14,-0.72,-1.52,-1.33,-555.0,842.13,-1397.14,0.48,24.99,-1.35,-3.28,30.46,118.22,-4.38,-6.12,-9.58,-2.28,0.22,-2.21,-2.4,-1.84,2.32,2.96
sep-03,2.34,1.58,0.7,-1.21,-339.02,795.71,-1134.74,-6.86,9.73,3.53,0.72,52.41,21.98,-0.65,0.92,-2.76,0.14,1.31,4.76,0.68,-2.83,0.21,3.3
oct-03,2.08,4.74,2.3,3.29,-376.9,850.99,-1227.89,5.28,5.5,1.71,4.65,21.65,124.22,3.9,0.8,2.74,4.32,3.5,0.4,3.17,4.91,-4.39,-3.45
nov-03,2.01,6.23,1.97,5.23,-378.74,929.28,-1308.02,5.69,27.58,1.57,4.06,7.72,6.0,3.93,2.3,0.81,5.1,-1.86,-0.23,2.24,7.19,4.56,-0.83
dic-03,2.58,8.75,2.05,7.48,-311.15,1287.04,-1598.18,26.1,24.28,-0.36,6.65,12.46,47.75,6.32,-1.38,8.0,5.74,0.79,3.01,2.7,9.51,-0.81,-0.32
ene-04,-0.1,3.71,-1.8,4.66,-56.97,969.52,-1026.48,-10.78,-7.09,1.58,5.41,-3.57,183.79,5.22,0.95,0.13,7.14,-5.88,-7.48,-1.43,7.32,0.14,1.49
feb-04,1.3,6.74,4.89,11.52,-586.29,843.71,-1430.0,-4.62,-8.9,2.12,9.17,18.51,53.92,8.74,2.12,0.33,12.04,7.52,3.54,5.05,13.52,1.17,7.39
