Periodo,Trimestral,Anual,Primarias_Trimestral,Primarias_Anual,Secundarias_Trimestral,Secundarias_Anual,Terciarias_Trimestral,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual,Demanda_consumo_privado_Anual,Demanda_consumo_gobierno_Anual,Demanda_FBCF_total_Anual,Demanda_FBCF_privada_Anual,Demanda_FBCF_publica_Anual,Demanda_export_byserv_Anual,Demanda_import_byserv_Anual,Demanda_consumo_privado_Trimestral,Demanda_consumo_gobierno_Trimestral,Demanda_FBCF_total_Trimestral,Demanda_export_byserv_Trimestral,Demanda_import_byserv_Trimestral
T4-89,1.0539,2.56,-9.976,-2.22,-1.4548,1.91,0.08,3.35,,,,,,,,,,,,,,,,,,,,,,,
T1-90,1.612,3.29,7.6013,1.74,4.1633,4.3,1.18,2.57,,,,,,,,,,,,,,,,,,,,,,,
T2-90,1.9368,5.46,2.33,13.06,2.4012,6.52,1.84,4.4,,,,,,,,,,,,,,,,,,,,,,,
T3-90,1.5371,5.05,0.274,-0.6,1.2668,6.44,1.33,4.49,,,,,,,,,,,,,,,,,,,,,,,
T4-90,0.8792,7.21,3.4484,14.22,0.1705,8.2,1.38,5.85,,,,,,,,,,,,,,,,,,,,,,,
T1-91,0.698,4.95,-0.6761,5.43,0.6995,4.6,0.9,5.56,,,,,,,,,,,,,,,,,,,,,,,
T2-91,0.6833,4.04,0.0158,3.05,0.2565,2.41,1.39,5.09,,,,,,,,,,,,,,,,,,,,,,,
T3-91,1.1027,3.03,-0.2128,2.55,0.0169,1.15,0.74,4.48,,,,,,,,,,,,,,,,,,,,,,,
T4-91,0.9521,3.86,-0.052,-0.92,2.4109,3.41,1.17,4.26,,,,,,,,,,,,,,,,,,,,,,,
T1-92,0.7623,3.39,-4.87,-5.11,0.6457,3.35,0.67,4.02,,,,,,,,,,,,,,,,,,,,,,,
T2-92,1.0605,3.68,2.9854,-2.29,1.3042,4.43,1.11,3.74,,,,,,,,,,,,,,,,,,,,,,,
T3-92,1.0527,4.64,1.0434,-1.06,1.6885,6.18,0.95,3.96,,,,,,,,,,,,,,,,,,,,,,,
T4-92,0.8476,2.77,1.2844,0.26,-1.555,2.07,0.34,3.11,,,,,,,,,,,,,,,,,,,,,,,
T1-93,0.3653,3.93,3.5395,9.13,0.2331,1.65,2.6,5.09,,,,,,,,,,,,,,,,,,,,,,,
T2-93,0.494,2.55,-1.2599,4.61,-0.6348,-0.37,1.9583,4.49,,,,,,,,,,,,,,,,,,,0.11,0.45,-0.06,-0.19,4.24
T3-93,0.6962,2.27,3.4333,7.03,1.2633,-0.79,0.5211,4.2,,,,,,,,,,,,,,,,,,,0.21,0.12,2.28,2.64,2.02
T4-93,0.8158,2.94,-4.2115,1.48,1.0803,1.99,1.9127,3.72,,,,,,,,,,,,,,,,,,,1.9,1.03,7.78,6.07,4.69
T1-94,1.2966,2.83,0.1784,-2.0,1.7524,3.49,-2.4364,2.48,1.91,-12.31,14.44,0.88,0.91,0.36,4.01,-2.68,4.1,1.45,1.26,3.03,3.22,15.57,16.91,9.85,8.01,18.81,0.78,1.58,4.9,-0.6,6.72
T2-94,1.6024,5.17,7.467,6.67,1.9541,6.19,0.3599,3.95,0.31,-13.13,19.06,5.13,4.06,3.79,7.02,-2.5,3.74,3.22,1.06,5.19,3.42,18.91,20.9,5.76,10.84,18.72,2.21,0.65,2.83,2.43,4.15
T3-94,1.1102,4.53,-9.7652,-6.95,0.1236,4.99,-0.104,4.26,-0.32,-8.94,16.25,3.41,7.12,5.44,7.48,1.22,3.89,3.95,1.17,6.88,2.72,15.87,17.45,6.3,11.98,18.76,1.82,-0.56,-0.33,3.69,2.06
T4-94,0.8962,4.99,4.4415,1.46,-0.25,3.61,-0.1004,6.41,-2.29,1.95,8.55,3.86,14.59,9.5,7.07,16.87,3.69,5.14,1.42,5.31,2.1,3.91,4.17,2.63,8.25,15.85,0.4,0.42,-3.34,2.54,2.12
