Periodo,Total_Mensual,Total_Anual,Maquinaria_y_equipo_Mensual,Maquinaria_y_equipo_Anual,Construcción_Mensual,Construcción_Anual,Construccion_residencial_Anual,Construccion_no_residencial_Anual,Maquinaria_nacional_Anual,Maquinaria_importada_Anual
nov-09,-0.25,-9.39,-0.56,-14.9,-0.2,-6.34,-10.33,-2.9,-21.68,-8.68
dic-09,2.27,-2.91,3.67,-8.22,0.48,-5.91,-3.17,-7.92,-10.34,-1.27
ene-10,1.38,3.27,-3.72,6.65,5.86,1.75,12.99,-6.3,22.82,-5.45
feb-10,-0.59,3.5,5.47,12.42,-3.75,-0.31,6.51,-5.27,17.83,6.75
mar-10,2.69,6.66,5.85,18.91,1.4,1.39,2.75,-0.14,37.21,6.16
abr-10,1.28,8.72,-2.27,19.85,2.75,3.95,10.28,-1.5,28.64,12.56
may-10,-2.08,6.32,3.72,27.14,-4.67,-2.42,-10.15,2.88,30.6,25.25
jun-10,0.68,5.5,-0.48,19.1,1.15,-0.84,-2.8,0.86,26.67,12.96
jul-10,-2.01,1.45,-4.8,13.14,-2.09,-3.22,-6.16,-1.16,17.59,11.25
ago-10,2.21,6.14,9.95,24.16,-0.6,-2.5,-7.12,1.78,28.16,19.23
sep-10,1.17,6.22,1.86,23.81,0.66,-2.39,-6.56,1.84,25.31,22.97
oct-10,1.31,8.22,2.35,21.99,0.51,1.08,-0.04,1.89,13.63,26.47
nov-10,0.25,8.77,1.95,25.07,-1.23,0.03,-2.98,2.23,26.72,22.88
dic-10,1.1,7.53,1.07,21.94,0.44,-0.0,-4.81,3.91,22.71,19.61
ene-11,2.02,8.21,3.84,31.52,1.98,-3.67,-9.81,2.84,22.44,40.78
feb-11,-2.52,6.11,-4.22,19.43,-1.18,-1.1,-4.49,2.45,23.07,15.9
mar-11,-0.56,2.75,-0.31,12.47,-0.48,-2.94,-7.37,0.51,12.01,12.95
abr-11,1.47,2.94,1.3,16.58,1.33,-4.28,-5.86,-2.5,11.92,21.31
may-11,2.78,8.05,5.46,18.53,1.12,1.53,7.98,-2.46,15.43,20.46
jun-11,3.96,11.56,1.26,20.6,5.12,5.52,13.62,0.16,17.75,24.01
jul-11,-1.32,12.34,-0.5,26.04,-2.61,4.97,6.28,3.9,23.73,26.97
ago-11,2.24,12.37,2.98,18.04,2.56,8.31,11.48,5.38,23.14,14.47
sep-11,-2.2,8.63,-2.37,13.14,-2.0,5.45,3.99,6.29,15.57,11.48
