Periodo,IAT_Nivel,Mensual,Anual,IAT_construccion_Nivel,IAT_construccion_Mensual,IAT_construccion_Anual,IAT_comercio_Nivel,IAT_comercio_Mensual,IAT_comercio_Anual
jun-25,50.34,-0.96,-0.5,46.43,1.38,-3.58,50.82,-1.37,4.56
jul-25,50.67,0.34,-1.89,44.25,-2.18,-6.48,50.25,-0.57,-3.57
ago-25,50.01,-0.66,-4.27,42.58,-1.67,-7.18,50.23,-0.02,-7.54
sep-25,50.54,0.53,-0.84,48.93,6.36,-2.62,50.15,-0.09,0.22
oct-25,52.22,1.68,2.24,43.33,-5.6,-6.04,55.97,5.83,9.53
nov-25,50.64,-1.57,-1.08,44.19,0.86,-4.21,50.63,-5.34,-2.45
dic-25,49.89,-0.76,-0.95,44.45,0.25,-0.24,49.67,-0.96,-0.9
ene-26,50.48,0.59,-1.32,44.99,0.55,-0.57,50.43,0.76,-3.01
feb-26,49.79,-0.69,-1.58,45.25,0.26,-0.3,49.7,-0.74,-3.45
mar-26,51.71,1.92,0.83,46.04,0.79,0.92,53.68,3.98,1.08
abr-26,50.42,-1.29,-0.93,45.69,-0.35,0.89,50.75,-2.94,-3.01
