Periodo,Personal_ocupado,Remuneraciones_totales,Ingresos_totales,Gastos_consumo_b_y_s,Transporte_correos_Anual,Info_medios_masivos_Anual,Inmobiliarios_alquiler_Anual,Profesionales_cientificos_Anual,Apoyo_negocios_residuos_Anual,Educativos_Anual,Salud_asistencia_Anual,Esparcimiento_culturales_Anual,Alojamiento_alimentos_Anual,Otros_servicios_Anual
may-10,-0.15,0.7,1.69,1.56,26.3,4.74,-17.79,-1.0,-0.05,-0.26,-5.04,8.61,13.93,
jun-10,-1.39,-1.44,-0.96,-2.9,12.86,5.01,-16.41,-21.71,-0.29,7.8,-5.89,-0.61,-4.74,
jul-10,0.28,1.06,-0.33,1.54,11.66,1.95,-12.13,-19.56,2.81,5.24,-6.35,-6.2,-13.62,
ago-10,0.02,-0.88,0.65,0.49,17.08,2.97,-15.37,-13.11,3.41,1.92,-13.63,-5.21,-18.36,
sep-10,-0.33,0.1,-0.32,-1.92,17.19,4.11,-22.79,-10.93,-1.13,-1.48,-10.89,-5.53,-13.13,
oct-10,0.07,-1.12,0.17,-0.46,15.08,2.96,-18.19,-23.42,6.38,8.21,-8.65,-6.27,-10.59,
nov-10,0.09,0.17,0.62,1.41,15.5,7.97,-12.8,17.45,4.51,6.37,-9.71,-7.56,-15.87,
dic-10,-0.12,-0.51,-0.73,3.55,11.09,3.33,-14.96,-4.11,-5.43,1.67,-7.43,-3.16,-12.85,
ene-11,-0.05,0.44,-0.12,-3.1,14.27,2.12,-8.93,-5.38,0.95,-0.57,-8.51,-7.65,-13.75,
feb-11,0.02,0.38,0.11,-1.35,15.1,-1.98,-19.84,2.06,0.71,2.69,-7.81,1.94,-14.07,
mar-11,-0.18,-0.71,-0.77,-1.61,11.17,-1.76,-18.66,-5.98,3.83,0.97,-12.38,-6.25,-9.47,
abr-11,0.42,1.06,1.47,4.02,13.67,1.08,-11.36,-4.77,5.14,1.8,-4.99,1.18,-4.38,
may-11,0.21,1.21,0.15,0.84,11.69,-2.17,-12.35,-3.33,3.62,1.22,-7.42,2.87,-7.01,
jun-11,0.25,-0.85,-0.24,1.71,13.05,-2.64,-15.13,5.23,3.23,-5.85,-8.4,0.5,-6.04,
jul-11,0.33,0.25,0.43,0.3,11.63,-1.02,-15.69,4.87,2.79,-3.79,-5.43,-1.26,-4.64,
ago-11,0.06,0.66,0.84,2.07,6.78,-1.51,-16.54,7.29,4.0,-0.78,-3.83,-0.14,-4.14,
sep-11,0.21,-0.43,2.75,0.09,5.75,2.94,5.58,13.43,7.92,-0.87,-5.18,-1.49,-0.31,
oct-11,0.12,1.2,-3.28,0.23,5.29,-0.32,-1.6,1.49,3.35,-5.39,-6.68,4.63,0.32,
nov-11,-0.12,-1.47,0.15,1.21,7.0,-4.02,-3.12,-5.23,2.9,-0.92,-6.09,6.26,1.9,
dic-11,-0.44,-1.16,-1.6,3.63,6.5,-1.9,3.1,-8.14,3.36,-3.79,-5.91,6.67,2.76,
ene-12,1.94,0.45,3.44,-5.53,9.36,-2.77,2.81,-5.43,6.17,-1.56,1.64,18.47,5.51,
feb-12,0.39,-0.06,-1.19,0.06,3.63,2.69,0.43,-8.15,9.49,-2.98,-1.95,2.5,7.14,
mar-12,0.06,1.11,0.05,-1.44,1.87,4.19,-3.44,-2.21,5.87,-3.01,5.38,11.52,5.99,
abr-12,-0.16,3.85,0.49,-0.17,4.12,0.34,2.54,-6.5,6.13,-3.11,1.3,7.1,6.25,
may-12,0.26,-6.05,-0.84,1.11,1.16,3.41,-2.12,-9.26,5.87,-12.84,1.08,1.25,5.64,
jun-12,0.59,2.33,2.35,3.08,3.18,7.04,-0.32,-5.72,6.5,1.96,3.32,17.1,7.76,
jul-12,-0.42,-0.39,-0.75,-2.07,6.09,6.0,-6.26,1.19,-0.46,1.29,0.84,10.09,6.58,
ago-12,-0.11,0.51,0.02,0.3,3.49,5.12,9.15,-9.24,5.76,-2.24,7.75,-2.43,5.88,
sep-12,0.82,-0.28,1.84,3.26,2.8,3.94,-17.89,-11.1,4.98,0.26,3.14,-1.99,3.37,
oct-12,-0.41,0.46,-0.06,-0.34,-0.72,5.39,0.14,4.91,7.43,-2.6,5.9,-6.72,2.57,
nov-12,-0.03,0.82,1.47,4.88,0.76,15.91,6.37,4.53,5.06,-5.82,5.93,-8.68,3.43,
dic-12,-0.85,-1.68,-1.65,-4.93,0.65,11.45,0.2,0.52,10.59,-2.7,3.83,-3.71,0.72,
ene-13,-0.06,3.59,-0.08,1.99,-4.58,12.41,-12.56,-2.4,5.08,2.01,8.37,-7.4,8.21,
feb-13,0.0,-0.3,1.35,1.01,-1.21,2.64,0.23,1.78,2.5,1.41,11.56,-2.81,10.0,
mar-13,0.19,-0.94,-0.95,-2.47,0.95,1.93,8.29,-4.2,1.36,2.9,6.76,-4.95,9.57,
abr-13,-0.18,3.63,1.39,2.07,-3.68,6.42,4.62,-1.16,2.2,1.79,10.38,-9.6,7.63,
may-13,0.04,-2.7,-0.34,0.5,-1.78,-2.15,13.27,3.46,2.58,15.74,6.69,-13.56,13.18,
