Periodo,Trimestral,Anual,Primarias_Trimestral,Primarias_Anual,Secundarias_Trimestral,Secundarias_Anual,Terciarias_Trimestral,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual,Demanda_consumo_privado_Anual,Demanda_consumo_gobierno_Anual,Demanda_FBCF_total_Anual,Demanda_FBCF_privada_Anual,Demanda_FBCF_publica_Anual,Demanda_export_byserv_Anual,Demanda_import_byserv_Anual,Demanda_consumo_privado_Trimestral,Demanda_consumo_gobierno_Trimestral,Demanda_FBCF_total_Trimestral,Demanda_export_byserv_Trimestral,Demanda_import_byserv_Trimestral
T3-97,2.07,8.19,-4.94,-3.07,2.78,10.19,1.74,7.26,8.26,-0.77,6.9,12.52,13.32,7.99,11.4,4.94,2.6,4.55,2.47,8.37,5.49,15.83,16.59,11.18,8.52,27.23,1.82,0.66,4.66,3.07,8.52
T4-97,2.82,7.82,5.68,0.38,2.57,8.5,2.61,8.03,6.62,-3.23,3.31,11.46,16.37,10.42,11.02,5.87,2.42,4.8,2.72,8.2,5.27,12.71,13.31,8.8,7.35,24.1,2.19,1.07,2.11,2.32,3.61
T1-98,1.55,9.12,1.6,3.73,2.29,10.77,1.44,7.99,5.54,-7.1,9.73,14.24,15.37,16.92,9.96,12.64,2.14,7.6,-1.68,9.45,1.9,18.03,22.79,-10.21,8.94,27.59,2.5,-1.18,3.89,1.93,5.23
T2-98,0.7,7.32,-1.34,0.71,0.59,8.47,0.74,6.69,3.88,-6.7,6.24,11.31,13.79,14.1,6.99,11.86,2.43,5.35,-1.67,7.56,1.2,12.34,16.6,-13.09,10.17,18.17,0.86,0.66,1.19,2.48,-0.12
T3-98,0.5,5.67,4.33,10.52,0.09,5.63,0.62,5.52,-0.69,-6.33,5.67,8.36,10.16,10.7,6.41,11.43,2.12,5.31,-1.56,6.09,1.57,8.4,10.6,-5.96,5.87,7.8,0.43,1.03,0.98,-0.95,-1.0
T4-98,0.18,2.96,-5.61,-1.28,0.53,3.54,0.06,2.9,-0.69,-4.39,5.12,4.79,4.38,4.92,3.79,8.51,2.21,3.83,-1.48,4.59,1.65,5.39,7.59,-7.82,8.06,7.42,0.74,1.15,-0.72,4.43,3.24
T1-99,0.89,2.28,12.77,9.57,0.48,1.7,0.91,2.36,0.05,5.91,7.2,0.73,3.34,2.64,3.33,1.34,2.77,0.97,3.47,2.35,4.98,5.49,3.41,22.86,6.43,3.96,0.3,2.06,3.99,0.39,1.84
T2-99,0.73,2.31,-12.08,-2.37,0.45,1.56,1.33,2.95,-3.77,11.09,3.62,2.07,3.8,3.81,4.5,2.63,3.2,3.36,3.12,3.25,5.76,4.04,3.32,10.54,4.03,10.49,1.75,1.4,-0.2,0.17,6.15
T3-99,0.94,2.76,4.34,-2.35,0.28,1.76,1.21,3.55,-1.52,12.78,0.0,3.06,3.7,4.55,5.2,4.79,3.88,4.2,2.77,5.17,5.2,2.53,1.99,6.32,9.12,15.89,2.3,0.5,-0.48,3.91,3.83
T4-99,1.0,3.6,-3.41,-0.08,0.86,2.09,1.23,4.77,-1.31,14.92,2.9,2.3,6.06,7.99,6.18,11.19,4.05,5.38,2.19,6.18,4.74,5.95,4.39,16.24,7.92,16.4,1.71,0.7,2.59,3.28,3.7
T1-00,2.06,4.81,9.13,-3.31,3.18,4.83,1.91,5.8,0.88,5.33,1.13,7.13,5.71,10.53,7.85,11.03,4.11,8.15,4.98,8.8,4.66,4.57,2.46,18.74,11.79,21.39,2.77,1.98,2.63,4.0,6.21
T2-00,1.28,5.38,-4.19,5.36,1.35,5.77,1.05,5.51,5.35,2.49,1.8,7.09,5.18,9.75,7.62,8.5,3.94,6.82,3.98,8.91,3.1,6.59,3.14,32.02,18.01,19.2,1.85,-0.1,1.73,5.74,4.23
T3-00,1.09,5.54,-4.83,-3.9,0.67,6.17,1.09,5.38,4.58,-1.51,1.5,8.6,6.3,9.31,7.99,4.21,3.78,5.6,3.14,8.58,2.46,7.03,2.96,36.13,15.62,22.25,1.98,-0.13,-0.07,1.8,6.5
T4-00,-1.13,3.32,6.59,6.05,-2.76,2.37,0.13,4.23,1.79,-6.24,-3.94,5.02,5.33,5.91,6.07,-0.47,3.7,4.15,2.51,7.87,1.73,1.68,-0.3,14.79,14.4,19.19,1.05,-0.02,-2.53,2.19,1.1
T1-01,0.66,1.9,0.16,-2.66,1.28,0.48,-0.38,1.9,3.09,-10.05,-9.38,2.94,2.32,2.18,3.41,2.64,3.94,2.35,-6.85,5.72,-3.01,-5.06,-5.55,-2.23,12.88,10.16,0.72,-2.77,-4.18,2.62,-1.84
T2-01,-0.77,-0.16,4.19,5.86,-2.11,-2.95,-0.3,0.54,-0.46,-11.25,-11.8,-0.84,1.17,-0.15,1.72,3.19,4.01,1.31,-6.82,3.61,-2.8,-8.93,-10.32,-1.42,2.76,3.85,-0.17,0.12,-2.42,-3.73,-1.73
T3-01,-0.2,-1.44,0.14,11.39,-0.12,-3.7,-0.17,-0.71,2.25,-5.9,-4.8,-5.06,-1.39,-2.53,-0.99,7.32,3.52,1.52,-5.65,1.63,-2.14,-7.11,-6.62,-10.15,-0.68,-5.91,0.03,0.55,1.92,-1.62,-3.51
T4-01,-0.86,-1.18,2.33,6.94,-1.37,-2.33,-0.46,-1.3,4.07,6.92,-4.47,-3.92,-3.94,-2.85,-1.88,9.53,3.51,1.33,-3.88,1.26,-2.06,-6.26,-9.22,10.76,-5.73,-5.47,0.68,0.06,-1.65,-3.0,1.57
