Periodo,Sin_petróleo_c_serv_Mensual,Sin_petróleo_c_serv_Anual,Con_petróleo_c_serv_Mensual,Con_petróleo_c_serv_Anual
jul-23,0.15,0.71,0.32,-0.69
ago-23,0.29,0.9,0.44,0.01
sep-23,0.12,1.08,0.31,0.58
oct-23,0.36,1.59,0.45,1.31
nov-23,-0.02,1.74,-0.29,1.26
dic-23,-0.03,1.38,-0.27,0.98
ene-24,0.42,1.2,0.45,1.02
feb-24,0.32,1.49,0.41,1.47
mar-24,0.77,1.9,0.73,2.0
abr-24,0.52,2.45,0.56,2.5
may-24,0.52,3.22,0.47,3.34
jun-24,1.29,4.81,1.35,5.03
jul-24,0.64,5.33,0.6,5.32
ago-24,-0.03,4.99,0.07,4.93
sep-24,0.61,5.5,0.5,5.13
oct-24,0.38,5.52,0.37,5.04
nov-24,0.94,6.53,0.94,6.34
dic-24,0.8,7.42,0.77,7.45
ene-25,0.61,7.62,0.71,7.73
feb-25,0.61,7.92,0.57,7.9
mar-25,0.23,7.34,0.08,7.22
abr-25,0.34,7.15,0.24,6.87
may-25,0.2,6.81,0.01,6.38
jun-25,-0.24,5.19,-0.07,4.89
jul-25,-0.45,4.05,-0.48,3.77
ago-25,-0.32,3.74,-0.35,3.33
sep-25,0.25,3.37,0.23,3.06
oct-25,0.41,3.41,0.27,2.96
nov-25,0.38,2.84,0.36,2.36
dic-25,0.55,2.59,0.49,2.09
ene-26,0.14,2.12,0.12,1.49
feb-26,0.16,1.66,0.19,1.11
mar-26,1.02,2.46,1.72,2.77
abr-26,-0.15,1.96,0.04,2.56
