Periodo,Total,Minería,Energía_agua_gas,Construcción,Manufactureras,Alimentos_Anual,Bebidas_Anual,Textil_Anual,Cuero_Anual,Madera_Anual,Papel_Anual,Quimica_Anual,Plastico_Anual,Metales_Anual,Metalicos_Anual,Maquinaria_Anual,Computacion_Anual,Electrico_Anual,Transporte_Anual
may-01,0.67,-0.24,-1.19,4.14,0.73,3.36,-2.98,-3.83,-15.19,-11.76,-1.31,-3.67,-3.35,-13.51,-6.51,2.83,18.43,-4.4,0.1
jun-01,-0.26,2.86,1.21,0.69,-1.35,4.73,6.83,1.27,-21.86,-12.13,-0.84,-8.01,-9.5,-1.84,-7.49,2.21,-4.72,-5.46,-5.8
jul-01,0.0,0.18,-0.02,3.27,-0.26,3.47,1.22,-8.06,-15.28,-9.7,-4.25,-8.43,-9.69,-2.48,-6.19,-6.29,-26.08,-7.32,-9.04
ago-01,0.01,-0.27,3.84,0.72,-0.87,3.83,-0.96,-7.64,-15.05,-13.9,-3.31,-3.77,-9.18,-0.56,-4.12,-4.1,-12.48,1.85,-8.14
sep-01,0.35,-0.63,1.56,-0.97,0.67,3.85,-4.19,-7.9,-6.14,-9.52,-1.31,-5.2,-13.35,-2.49,-6.09,-4.12,-18.31,11.29,-3.53
oct-01,-1.95,-1.59,3.53,-2.92,-2.09,2.08,-1.19,-9.67,-5.65,-15.01,-1.94,-3.88,-9.55,-2.06,-7.08,-8.31,-24.46,-0.4,-8.62
nov-01,0.88,2.92,3.43,1.29,-0.07,2.64,1.15,-6.48,-6.37,-18.05,0.42,-2.78,0.76,0.13,-14.21,-7.88,-15.29,-2.25,-1.92
dic-01,-0.68,0.74,4.9,-0.16,-1.36,3.52,3.62,1.39,-2.75,-13.47,-1.66,-4.8,-0.62,-9.2,-8.92,-6.74,-14.75,-0.96,-4.75
ene-02,-0.95,-2.31,-2.42,-2.9,0.36,2.68,5.02,-7.98,-18.28,-23.53,-0.87,-1.73,-5.24,-8.81,-6.35,-1.22,-27.57,-7.65,-5.78
feb-02,-2.05,-0.82,4.07,-1.77,-1.74,2.69,2.92,-11.14,4.8,-25.81,-1.15,-1.6,-4.85,4.4,-2.58,-5.82,-36.84,-12.16,-4.29
mar-02,1.14,-1.65,2.15,-1.98,1.75,3.31,-2.2,-9.44,-2.11,-9.31,0.75,-2.55,6.43,-6.08,1.99,-4.07,-24.72,-3.9,-2.79
abr-02,1.72,1.37,3.27,2.13,1.0,3.53,5.4,-7.82,-2.68,-6.33,3.33,2.0,13.04,-4.39,2.4,-5.09,-26.77,-3.88,-1.03
may-02,-0.71,0.47,4.0,1.8,-1.58,0.82,3.0,-5.76,-0.73,-6.62,1.73,-2.16,0.75,7.16,2.62,6.72,-44.81,-5.95,0.74
jun-02,0.24,-0.73,1.04,-0.29,0.65,0.23,-3.68,-14.59,-1.4,-9.02,1.44,0.31,9.72,0.98,1.53,3.75,-32.0,-6.78,3.94
jul-02,0.26,0.04,1.97,1.48,0.44,1.37,0.05,-3.06,3.56,-10.33,3.72,0.12,12.33,3.58,-2.4,1.67,-35.86,-4.33,10.16
ago-02,1.16,0.71,0.36,1.51,0.76,2.0,3.32,-6.01,2.4,-12.05,4.52,-2.6,3.03,4.76,-3.62,4.12,-25.4,-16.92,12.88
sep-02,-0.04,-1.18,1.49,1.61,-0.44,1.51,3.74,-5.92,-1.09,-5.46,1.01,-0.73,-0.2,3.42,-6.05,-7.81,-11.4,-13.9,2.96
oct-02,1.11,5.04,-0.17,0.04,0.73,1.87,7.55,-0.26,0.52,-15.48,1.01,-1.13,-1.97,1.7,-2.25,-4.1,7.33,-10.32,7.37
nov-02,0.04,-5.21,-2.32,1.15,0.93,0.13,-1.79,-2.39,-0.35,-7.95,-0.95,0.65,-8.7,2.34,8.24,-3.58,15.75,-6.51,1.1
dic-02,-1.02,2.73,3.71,-0.83,-2.27,1.78,-4.59,-3.44,-1.38,-6.18,1.28,3.77,-7.33,14.19,0.96,4.36,3.84,-7.94,-8.35
ene-03,-1.96,-0.03,-2.02,0.33,-2.4,1.39,-0.66,-5.43,10.73,-7.14,2.81,4.26,-4.35,8.06,5.66,-5.86,-26.3,-3.74,-0.29
feb-03,2.21,1.05,0.27,2.56,2.97,2.11,-1.94,-4.49,-5.04,3.15,6.16,6.83,3.03,1.93,-0.42,0.82,0.69,2.22,-0.77
mar-03,-0.66,0.85,-0.1,-4.15,-1.11,0.89,1.59,0.68,-4.3,-2.58,3.91,1.56,-6.26,4.11,-5.07,24.25,-5.84,-5.27,-6.08
abr-03,0.23,-1.24,-1.05,1.05,0.46,1.07,-3.93,-2.11,-0.68,-2.78,0.59,-0.64,-6.54,7.53,-10.76,13.36,-1.14,-2.89,-7.28
may-03,0.28,0.83,0.16,-1.76,0.62,1.91,1.67,-8.84,-2.76,-10.5,0.71,0.84,-3.1,-1.45,-7.53,-5.98,23.96,-1.4,-2.52
jun-03,0.64,0.83,-0.72,0.94,0.69,2.1,4.82,-6.92,-1.97,-1.1,-1.07,0.66,-6.13,0.94,-2.44,9.5,21.57,-7.57,-5.6
jul-03,-0.28,0.68,-0.86,1.21,-0.7,2.22,1.61,-2.61,-7.87,-6.08,-0.3,1.81,-10.56,1.86,0.32,-3.96,26.04,-5.02,-10.36
ago-03,-0.26,0.03,-0.49,-1.4,-0.47,1.06,-2.95,-3.53,-9.0,-3.98,-1.4,1.5,-1.87,-5.53,-4.1,-2.52,16.55,4.22,-13.05
sep-03,-0.24,-0.23,-0.11,-1.5,0.18,1.88,1.08,-4.08,-1.08,-8.43,-0.05,-2.39,5.05,-0.09,-0.02,-0.74,-2.16,-0.94,-6.92
oct-03,0.74,1.87,-0.08,2.59,0.3,1.85,-1.03,-3.26,-2.43,-0.14,1.44,-0.38,11.15,3.04,6.38,4.44,-6.74,-0.99,-9.08
nov-03,-0.65,-0.38,1.39,-3.0,-0.78,3.64,6.75,-1.34,-4.46,1.29,4.97,-2.62,3.86,2.35,-5.54,4.14,-23.39,-5.54,-7.61
dic-03,1.71,0.39,-0.24,3.24,1.97,3.49,5.7,-3.38,-1.62,6.42,3.58,-1.29,11.81,-6.14,0.46,3.72,-3.11,-2.54,4.32
ene-04,0.31,-0.91,19.63,8.02,-1.55,2.8,2.27,6.04,-0.81,1.93,1.21,-3.49,4.91,4.88,0.18,15.07,2.07,-1.17,-0.24
feb-04,0.14,-0.46,0.99,-3.58,0.89,1.48,6.4,-2.55,0.11,-7.01,-1.02,-3.13,4.64,-1.9,0.03,3.97,-1.43,0.92,0.66
mar-04,2.06,0.76,2.63,3.21,1.96,3.72,6.47,-3.06,4.4,-4.31,0.54,3.04,4.04,2.96,5.95,8.33,-4.57,3.26,10.15
abr-04,-0.11,1.04,-1.14,0.34,-0.39,2.85,9.17,-3.2,-6.09,-4.82,3.04,0.9,2.88,5.22,14.23,4.65,-8.43,-0.86,8.13
may-04,-0.44,-0.94,-1.23,-1.85,-0.27,1.57,3.79,4.92,23.99,11.4,3.79,2.16,3.41,4.78,10.36,2.78,-8.95,4.61,-1.6
jun-04,0.6,0.56,0.69,1.27,0.68,2.82,6.05,8.69,2.81,-2.93,5.03,2.8,3.83,0.5,9.89,-4.65,-16.51,11.5,4.19
jul-04,-0.48,-1.68,0.89,-1.63,0.22,2.41,4.76,5.52,5.5,8.86,6.33,1.31,7.49,3.66,7.26,9.41,-16.33,7.02,4.95
ago-04,-0.04,-0.26,1.02,-1.94,0.22,2.9,9.53,6.81,6.55,11.47,6.95,1.77,4.6,8.08,13.78,5.97,-16.87,3.6,9.22
sep-04,0.16,2.21,0.25,2.19,-0.76,2.7,5.86,2.58,-1.96,0.77,9.07,5.58,7.87,5.02,15.4,11.73,-14.06,-3.09,6.31
oct-04,0.34,1.27,0.6,0.43,-0.03,2.08,5.74,2.09,-1.68,4.71,8.54,4.03,1.72,2.12,5.29,9.32,-15.78,3.16,5.86
nov-04,0.05,-1.48,-0.12,1.15,0.12,3.95,5.08,2.59,2.9,-4.36,6.85,6.46,3.26,0.66,9.9,13.33,-13.72,4.55,3.89
dic-04,0.32,-3.25,1.58,-0.06,1.42,3.78,9.39,-2.87,-2.03,1.29,6.87,7.41,2.18,6.77,11.62,9.58,-17.05,0.18,12.42
ene-05,0.25,2.7,1.72,2.98,-0.76,4.46,7.24,-5.55,1.48,2.19,7.6,4.39,5.94,-0.92,10.42,11.91,-0.55,2.83,-0.31
feb-05,0.42,0.02,1.53,-2.33,1.1,4.87,11.0,1.72,-3.32,5.24,6.29,3.28,4.85,6.29,13.52,9.02,-10.08,0.64,6.36
mar-05,-0.24,-0.73,-1.62,1.79,-0.98,2.84,5.5,-5.01,-2.6,3.73,4.36,0.78,-2.62,8.45,9.23,2.7,-8.37,-1.66,-6.78
abr-05,0.3,1.98,0.84,-1.0,0.46,3.39,5.67,-4.16,9.6,1.41,5.91,3.96,6.88,6.05,5.7,6.78,-12.71,-0.62,3.08
may-05,0.87,1.66,0.65,0.46,0.17,5.67,6.68,-6.08,-14.35,-5.65,6.15,4.51,3.6,6.84,8.77,14.61,-14.68,-4.3,4.86
jun-05,-1.14,-0.57,1.88,0.42,-1.52,2.77,6.33,-5.84,6.25,4.83,5.7,0.53,2.44,5.64,1.98,5.82,-10.15,-3.83,-3.28
jul-05,-1.51,-7.81,-0.05,-1.87,0.47,2.21,5.92,-9.34,5.35,-3.27,5.35,2.12,-1.39,-1.52,3.73,6.42,-7.85,-3.27,0.51
ago-05,2.62,9.07,-1.52,0.37,1.48,4.28,3.93,-8.54,2.25,-11.84,3.88,2.45,-0.16,-0.6,3.21,10.52,-8.61,0.6,4.77
sep-05,0.78,-1.98,0.57,1.04,1.8,4.19,7.27,-4.54,4.58,-6.21,1.49,0.9,-1.11,3.3,2.24,11.54,-0.99,8.16,8.29
oct-05,0.3,-1.86,0.69,-0.0,0.84,3.84,6.37,-10.98,9.6,-4.87,0.38,1.9,-1.47,10.13,5.93,11.44,1.2,2.6,10.28
nov-05,1.44,3.24,0.85,3.23,0.68,2.0,5.17,-9.73,8.83,5.42,-0.36,1.05,3.43,12.8,7.4,5.04,5.82,4.97,18.22
dic-05,1.24,1.05,-1.84,1.14,1.09,0.4,3.19,-4.19,11.16,-10.82,2.26,-1.3,1.85,11.76,5.62,5.44,6.28,14.77,10.76
ene-06,0.24,-0.83,8.58,-0.34,0.76,1.02,5.95,-6.78,9.21,5.28,2.05,2.53,3.12,10.52,10.16,-2.02,6.95,11.09,26.8
feb-06,-0.62,-1.42,2.78,0.22,-0.9,1.41,0.86,-5.58,10.21,13.06,4.61,-0.86,0.64,7.07,6.67,2.33,4.43,8.34,15.65
mar-06,0.94,0.9,-0.37,2.57,0.34,1.57,3.37,-4.27,9.19,-2.6,5.46,3.26,4.96,3.48,8.72,-0.31,5.32,12.94,29.31
abr-06,0.14,-0.62,1.24,1.31,0.14,1.69,5.12,-4.85,0.31,-0.45,1.56,3.36,-0.69,0.83,11.38,1.48,10.18,17.9,8.57
may-06,0.95,-0.57,1.38,0.35,1.42,1.72,7.09,-3.73,2.79,2.02,1.34,3.18,2.25,8.88,6.7,0.83,11.68,16.66,19.66
jun-06,0.11,-2.08,1.33,0.35,0.53,2.74,3.24,-4.51,0.28,-6.95,3.8,7.39,7.26,11.23,14.05,6.88,5.13,18.85,26.27
jul-06,-0.02,-0.45,0.43,0.47,0.06,3.3,7.71,-1.89,-0.24,-3.56,1.98,6.82,4.84,13.91,13.93,8.55,8.33,23.93,17.51
ago-06,0.45,1.99,0.77,3.48,-1.23,0.75,5.58,-2.26,2.19,6.96,2.8,4.04,4.55,9.06,10.25,0.64,12.36,10.74,8.11
sep-06,-0.35,0.37,0.06,-0.67,-0.16,0.82,7.78,-1.57,1.5,7.02,5.37,3.75,0.08,1.26,3.75,0.02,6.14,5.18,6.33
oct-06,-0.01,-0.6,0.11,-0.73,0.25,1.5,7.29,3.55,-5.16,4.87,6.17,2.03,0.24,-3.11,4.72,-2.5,6.35,7.21,6.64
nov-06,0.25,0.16,0.93,-0.14,0.66,1.36,6.01,-4.21,-5.63,-1.5,5.38,3.08,-0.45,-4.15,2.25,-0.37,6.38,-1.28,7.38
dic-06,-1.03,-5.32,0.17,-0.04,-0.82,4.04,5.04,-1.84,-4.81,3.25,3.17,4.83,-0.81,-4.34,5.13,-2.02,-3.69,-13.08,4.87
ene-07,0.13,5.5,1.76,-1.16,-0.32,0.8,3.98,-4.13,-8.33,3.27,5.65,6.42,-0.42,0.49,0.35,-5.58,14.17,-8.68,-4.03
feb-07,0.75,0.47,-1.1,1.76,0.0,1.25,1.75,-4.72,-7.36,-3.6,2.71,8.12,0.55,-2.54,2.19,-3.41,10.54,-6.62,-1.81
mar-07,1.03,0.4,1.65,0.25,1.75,3.63,5.51,1.3,-5.71,8.94,2.85,6.18,5.53,-0.91,1.74,-1.0,6.71,-7.36,-2.35
abr-07,-0.24,0.09,-1.17,-0.39,-0.23,2.1,1.74,0.24,-0.45,1.91,3.85,6.26,3.61,-1.29,1.36,-2.72,4.46,-11.25,11.8
may-07,-0.01,-1.55,1.73,-0.33,0.54,3.44,3.54,-5.86,-2.09,-1.17,4.54,3.4,1.25,-3.69,1.36,-2.5,4.07,-11.69,3.27
jun-07,-0.01,2.11,-0.38,-1.96,-0.2,2.55,5.7,-8.86,1.9,7.66,2.59,2.46,-0.49,-4.35,-3.61,-4.01,6.01,-16.49,3.91
jul-07,-0.05,-0.74,0.86,2.07,-0.46,1.1,4.44,-5.85,1.58,6.63,3.06,0.98,1.32,-7.45,-3.97,-4.76,-1.59,-18.24,12.8
ago-07,-0.48,-8.31,0.59,3.27,0.18,2.23,3.93,-0.95,2.12,-4.7,2.0,1.34,3.89,-2.14,-1.13,-2.2,0.51,-14.46,14.97
sep-07,0.6,7.84,1.33,1.69,-1.37,1.75,-2.9,-5.63,3.46,4.06,-1.06,1.53,3.66,0.97,0.03,-2.14,-0.47,-13.47,9.02
oct-07,-0.37,-2.08,0.74,1.04,-0.26,2.89,-1.66,-8.31,5.6,4.59,1.33,0.23,2.94,6.93,-3.69,-2.03,-3.82,-16.85,3.55
nov-07,-0.69,-1.76,0.22,0.98,-1.1,1.93,-1.61,-6.38,0.06,-1.28,2.79,-4.08,0.05,2.68,-4.15,-4.78,-8.37,-5.52,-3.8
dic-07,0.65,0.81,0.92,1.05,-0.26,0.1,0.56,-5.7,0.77,-3.05,2.78,-1.73,3.18,-6.17,-3.95,0.21,-6.58,-9.73,-1.37
ene-08,-0.22,-0.96,-0.21,-0.96,1.38,4.06,1.3,3.38,3.3,-6.7,1.26,-3.25,2.63,-2.45,-4.94,5.71,-3.81,-10.46,6.36
feb-08,2.11,-0.14,3.93,2.74,1.06,3.22,7.38,9.06,6.34,-2.77,3.07,-4.52,3.92,1.67,-4.55,6.17,-6.92,2.12,6.34
mar-08,-2.21,-1.09,-4.25,-2.63,-1.34,0.4,4.6,0.19,-0.07,-7.53,1.68,-5.16,-0.9,-2.96,-4.64,-0.83,-4.58,-12.98,-0.73
abr-08,-0.05,-2.47,0.7,-0.49,0.73,2.21,5.21,3.92,-1.67,-0.79,1.91,-7.03,-2.06,-2.57,1.76,3.47,-2.54,-12.98,-2.92
may-08,0.17,1.23,0.39,2.01,-0.54,-0.58,-0.86,9.27,-6.33,0.37,0.08,-3.74,-2.54,-3.28,-1.67,2.37,-7.68,-12.22,-3.72
jun-08,1.14,1.13,-1.09,1.51,0.83,0.32,0.1,16.23,-14.64,-6.23,2.28,-2.52,-2.2,-3.44,-0.69,4.42,-0.79,-11.29,-2.06
