Periodo,Tasa_participacion_Total,Tasa_participacion_Hombres,Tasa_participacion_Mujeres,Tasa_subocupacion,Tasa_desocupacion_Total,Tasa_desocupacion_Hombres,Tasa_desocupacion_Mujeres,Tasa_informalidad,Tasa_ocupacion_Total,Tasa_ocupacion_parcial_Total,Tasa_participacion_urbana,Tasa_desocupacion_urbana,Tasa_subocupacion_urbana,Tasa_informalidad_urbana
ene-22,58.83,75.89,43.77,9.36,3.57,3.65,3.4,55.14,96.43,9.04,59.96,4.81,9.78,43.35
feb-22,59.01,76.09,44.09,9.59,3.81,3.72,3.8,54.57,96.19,9.21,60.27,5.38,9.49,44.18
mar-22,58.96,75.33,44.23,9.09,3.48,3.52,3.39,55.81,96.52,8.46,60.17,4.39,8.98,44.47
abr-22,59.98,76.3,45.54,8.63,3.06,3.12,3.09,55.66,96.94,9.27,61.23,3.95,9.18,45.0
may-22,59.61,76.47,44.7,8.38,3.32,3.27,3.32,55.64,96.68,9.12,60.6,4.2,9.11,45.12
jun-22,59.81,76.36,45.15,8.89,3.31,3.39,3.28,55.88,96.69,9.42,60.99,4.24,8.73,45.07
jul-22,59.54,76.1,44.73,7.83,3.19,3.18,3.26,55.15,96.81,8.7,60.48,4.01,8.23,44.63
ago-22,59.77,76.36,45.17,7.66,3.24,3.21,3.25,55.29,96.76,8.99,60.38,4.02,7.73,45.08
sep-22,59.86,76.24,45.36,7.62,3.12,3.08,3.16,55.48,96.88,9.32,60.94,3.88,7.44,44.66
oct-22,60.36,76.42,46.03,7.44,3.23,3.08,3.54,55.17,96.77,9.3,61.19,4.23,7.67,44.34
nov-22,60.37,76.72,45.95,7.37,2.94,2.85,3.04,55.1,97.06,9.13,60.89,3.78,6.63,44.26
dic-22,60.06,75.79,45.73,7.66,2.97,3.08,2.84,55.28,97.03,8.43,61.12,3.89,7.64,44.41
ene-23,60.78,76.77,46.57,7.99,2.91,2.95,2.81,55.17,97.09,8.57,61.32,3.58,7.25,44.19
feb-23,60.49,76.61,46.34,7.65,2.83,2.54,3.11,55.46,97.17,8.56,61.07,3.48,7.23,44.98
mar-23,60.62,76.39,46.54,7.42,2.82,2.93,2.66,55.03,97.18,8.14,61.36,3.38,6.57,44.95
abr-23,60.28,76.07,46.37,8.07,2.87,2.94,2.84,54.77,97.13,9.53,60.85,3.63,7.3,42.92
may-23,60.02,75.99,45.83,8.04,2.93,2.85,2.93,55.12,97.07,9.49,61.02,3.4,8.12,44.91
jun-23,60.16,76.31,46.08,7.84,2.61,2.63,2.67,55.49,97.39,8.45,61.05,3.14,7.82,45.56
jul-23,60.33,76.21,46.29,7.69,2.91,3.06,2.74,55.39,97.09,9.61,61.37,3.42,7.93,45.26
ago-23,60.36,76.35,46.37,7.69,2.69,2.65,2.73,55.11,97.31,8.94,61.31,3.31,8.13,44.49
sep-23,60.5,76.48,46.42,7.86,2.67,2.64,2.71,54.23,97.33,9.02,61.56,3.32,7.76,44.61
oct-23,60.09,76.77,45.26,7.68,2.7,2.72,2.74,55.18,97.3,9.08,60.82,3.39,7.47,44.52
nov-23,60.58,76.4,46.55,7.91,2.78,2.81,2.73,54.68,97.22,9.75,61.56,3.37,7.78,44.08
dic-23,60.24,75.61,46.29,8.13,2.8,2.73,2.93,54.06,97.2,8.82,60.41,3.37,7.47,42.82
ene-24,60.22,76.19,46.13,7.41,2.78,2.73,2.85,54.45,97.22,8.45,61.55,3.35,6.61,43.49
feb-24,60.51,75.92,47.15,6.74,2.59,2.46,2.66,54.46,97.41,8.48,61.55,3.29,6.78,43.9
mar-24,60.35,76.08,46.35,7.12,2.69,2.56,2.87,54.39,97.31,8.23,61.26,3.4,5.94,42.89
abr-24,60.45,76.34,46.51,7.47,2.67,2.65,2.73,54.61,97.33,9.07,61.78,3.11,6.91,43.29
may-24,60.55,76.17,46.87,7.39,2.6,2.7,2.37,54.36,97.4,8.78,62.03,3.29,6.96,43.6
jun-24,59.89,75.96,45.86,7.45,2.73,2.77,2.78,53.81,97.27,9.07,61.38,3.44,7.09,42.36
jul-24,60.43,76.36,46.3,7.71,2.72,2.83,2.62,54.14,97.28,9.48,61.92,3.3,6.92,42.59
ago-24,60.07,75.94,46.29,7.81,2.76,2.67,2.87,54.2,97.24,9.17,61.68,3.2,6.87,42.93
sep-24,60.01,75.73,46.44,7.82,2.7,2.67,2.74,54.19,97.3,9.64,60.68,3.18,6.71,42.48
oct-24,59.86,75.42,46.09,9.0,2.48,2.4,2.68,53.88,97.52,9.35,61.67,2.89,8.04,43.0
nov-24,59.75,75.11,46.04,8.47,2.68,2.64,2.74,54.63,97.32,9.7,61.32,3.05,7.11,43.7
dic-24,59.65,75.04,45.99,7.37,2.64,2.69,2.48,54.13,97.36,8.54,61.16,3.07,6.03,43.17
ene-25,59.79,75.28,46.13,7.33,2.64,2.48,2.88,54.43,97.36,9.16,60.83,3.14,6.69,43.53
feb-25,59.04,74.55,45.49,6.53,2.65,2.62,2.63,54.52,97.35,8.58,60.78,3.14,5.68,43.35
mar-25,59.58,75.28,45.81,7.21,2.6,2.56,2.63,54.45,97.4,8.19,61.12,2.86,6.24,43.29
abr-25,59.37,75.14,45.53,6.92,2.61,2.5,2.77,54.67,97.39,9.09,60.97,3.16,6.24,43.57
may-25,59.44,75.05,45.68,7.07,2.71,2.64,2.74,54.8,97.29,9.24,60.67,3.16,5.5,43.21
jun-25,59.86,75.11,46.62,7.28,2.64,2.59,2.8,54.75,97.36,8.97,61.48,3.13,5.89,43.25
jul-25,59.53,74.88,46.06,7.04,2.58,2.56,2.68,55.73,97.42,9.31,60.37,2.87,6.12,44.96
ago-25,58.75,73.99,45.5,6.91,2.66,2.66,2.66,54.76,97.34,9.16,59.84,3.18,5.86,43.74
sep-25,59.53,75.62,45.48,6.97,2.74,2.68,2.83,54.87,97.26,9.45,60.76,3.47,6.07,43.83
oct-25,59.54,74.66,46.1,7.14,2.61,2.63,2.63,55.39,97.39,9.29,60.72,3.06,6.06,45.1
nov-25,58.74,74.69,44.52,6.84,2.7,2.61,2.83,54.78,97.3,8.67,60.51,3.2,6.66,43.93
dic-25,59.39,74.74,45.62,6.73,2.62,2.32,2.93,55.1,97.38,8.81,60.75,2.96,5.44,43.8
ene-26,58.91,74.05,45.54,6.46,2.65,2.62,2.69,55.09,97.35,8.78,60.83,3.1,5.79,44.46
feb-26,59.36,74.69,45.82,7.31,2.72,2.63,2.82,54.82,97.28,9.18,60.62,3.14,6.07,43.73
mar-26,58.83,73.99,45.35,7.33,2.8,2.64,2.99,54.99,97.2,8.51,60.62,3.36,6.12,44.1
